row_label_raw,row_label_full,col_0,Trong nước triệu đồng,Nước ngoài triệu đồng,Tổng cộng triệu đồng,numeric__Trong nước triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,Tài sản vào ngày 31 tháng 12 năm 2016,97.056.410,91.061,97.147.471,97056410.0,91061.0,97147471.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,9.061.565,90.470,9.152.035,9061565.0,90470.0,9152035.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),11.331,-,11.331,11331.0,,11331.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,60.179.583,-,60.179.583,60179583.0,,60179583.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,27.552.761,-,27.552.761,27552761.0,,27552761.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",251.170,591,251.761,251170.0,591.0,251761.0
Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,Công nợ vào ngày 31 tháng 12 năm 2016,83.991.199,10.834.315,94.825.514,83991199.0,10834315.0,94825514.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,25.487.819,7.774.172,33.261.991,25487819.0,7774172.0,33261991.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,56.503.380,3.060.143,59.563.523,56503380.0,3060143.0,59563523.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,2.000.000,-,2.000.000,2000000.0,,2000000.0
Cam kết ngoại bằng vào ngày 31 tháng 12 năm 2016,Cam kết ngoại bằng vào ngày 31 tháng 12 năm 2016,Cam kết ngoại bằng vào ngày 31 tháng 12 năm 2016,31.799.635,-,31.799.635,31799635.0,,31799635.0
