row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,8.405,208.082,11.786,228.273,8405.0,208082.0,11786.0,228273.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,-,17.244,-,17.244,,17244.0,,17244.0
Tăng khác,Nguyên giá TSCĐ vô hình: > Tăng khác,Tăng khác,-,380,-,380,,380.0,,380.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.405),-,-,(8.405),-8405.0,,,-8405.0
Giảm khác,Nguyên giá TSCĐ vô hình: > Giảm khác,Giảm khác,-,(80),-,(80),,-80.0,,-80.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,-,225.626,11.786,237.412,,225626.0,11786.0,237412.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,130.618,6.464,137.082,,130618.0,6464.0,137082.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,-,17.867,1.312,19.179,,17867.0,1312.0,19179.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,148.485,7.776,156.261,,148485.0,7776.0,156261.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày đầu năm,Giá trị còn lại: > Tại ngày đầu năm,Tại ngày đầu năm,8.405,77.464,5.322,91.191,8405.0,77464.0,5322.0,91191.0
Tại ngày cuối năm,Giá trị còn lại: > Tại ngày cuối năm,Tại ngày cuối năm,-,77.141,4.010,81.151,,77141.0,4010.0,81151.0
