row_label_raw,row_label_full,col_0,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Từ 1 - 5 năm,Trong hạn > Trên 5 năm,Đơn vị: triệu đồng > Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Từ 1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Đơn vị: triệu đồng > Tổng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt vàng bạc, đá qui","Tải sản > Tiền mặt vàng bạc, đá qui","Tiền mặt vàng bạc, đá qui",-,-,855.723,-,-,-,-,855.723,,,855723.0,,,,,855723.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.015.092,-,-,-,-,4.015.092,,,4015092.0,,,,,4015092.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,9.025.135,86.900,40.000,-,-,9.152.035,,,9025135.0,86900.0,40000.0,,,9152035.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,11.331,-,-,-,-,11.331,,,11331.0,,,,,11331.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.899.133,874.296,3.868.876,8.176.313,14.319.622,22.366.868,8.674.475,60.179.583,1899133.0,874296.0,3868876.0,8176313.0,14319622.0,22366868.0,8674475.0,60179583.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),100.000,150.000,-,231.546,1.044.927,22.854.638,3.171.650,27.552.761,100000.0,150000.0,,231546.0,1044927.0,22854638.0,3171650.0,27552761.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,251.761,251.761,,,,,,,251761.0,251761.0
Tài sản cố định và bất động sản đầu tư,Tải sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,-,371.338,371.338,,,,,,,371338.0,371338.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),-,-,1.303.753,51.167,2.937.927,-,-,4.292.847,,,1303753.0,51167.0,2937927.0,,,4292847.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,1.999.133,1.024.296,19.079.910,8.545.926,18.342.476,45.221.506,12.469.224,106.682.471,1999133.0,1024296.0,19079910.0,8545926.0,18342476.0,45221506.0,12469224.0,106682471.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,22.727.592,9.530.377,849.464,154.517,41,33.261.991,,,22727592.0,9530377.0,849464.0,154517.0,41.0,33261991.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,29.221.375,14.945.937,12.400.621,2.995.590,-,59.563.523,,,29221375.0,14945937.0,12400621.0,2995590.0,,59563523.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,1.313,7.312,9.124,39.726,-,57.475,,,1313.0,7312.0,9124.0,39726.0,,57475.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,2.000.000,-,2.000.000,,,,,,2000000.0,,2000000.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,605.749,14.762,523.285,-,-,1.143.796,,,605749.0,14762.0,523285.0,,,1143796.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,52.556.029,24.498.388,13.782.494,5.189.833,41,96.026.785,,,52556029.0,24498388.0,13782494.0,5189833.0,41.0,96026785.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.999.133,1.024.296,(33.476.119),(15.952.462),4.559.982,40.031.673,12.469.183,10.655.686,1999133.0,1024296.0,-33476119.0,-15952462.0,4559982.0,40031673.0,12469183.0,10655686.0
