row_label_raw,row_label_full,col_0,Năm 2016 triệu đồng,Năm 2015 triệu đồng,numeric__Năm 2016 triệu đồng,numeric__Năm 2015 triệu đồng
Thu nhập từ hoạt động kinh doanh trước thuế,Thu nhập từ hoạt động kinh doanh trước thuế,Thu nhập từ hoạt động kinh doanh trước thuế,697.681,622.441,697681.0,622441.0
Trừ:,Trừ:,Trừ:,,,,
- Thu nhập từ cổ tức không chịu thuế,Trừ: > - Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,(3.218),(25.219),-3218.0,-25219.0
Cộng:,Cộng:,Cộng:,,,,
- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,-,-,,
Thu nhập chịu thuế TNDN,- Chi phí không được khấu trừ > Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,694.463,597.222,694463.0,597222.0
Chi phí thuế TNDN hiện hành trong năm,- Chi phí không được khấu trừ > Chi phí thuế TNDN hiện hành trong năm,Chi phí thuế TNDN hiện hành trong năm,138.893,131.389,138893.0,131389.0
Chi phí thuế TNDN phát sinh trong năm,- Chi phí không được khấu trừ > Chi phí thuế TNDN phát sinh trong năm,Chi phí thuế TNDN phát sinh trong năm,138.893,131.389,138893.0,131389.0
Thuế TNDN phải trả/(phải thu) đầu năm,- Chi phí không được khấu trừ > Thuế TNDN phải trả/(phải thu) đầu năm,Thuế TNDN phải trả/(phải thu) đầu năm,67.112,79.072,67112.0,79072.0
Thuế TNDN đã trả trong năm,- Chi phí không được khấu trừ > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(150.305),(143.349),-150305.0,-143349.0
Thuế TNDN phải trả cuối năm,- Chi phí không được khấu trừ > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,55.700,67.112,55700.0,67112.0
