row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,Giá trị ghi số > Giữ đến ngày đáo hạn,Giá trị ghi số > Đi vay và phải trả,Giá trị ghi số > Sẵn sàng để bán,Giá trị ghi số > Công nợ và nợ khác hạch toán theo giá trị phân bổ,Đơn vị: triệu đồng > Tổng cộng giá trị ghi số,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,numeric__Giá trị ghi số > Giữ đến ngày đáo hạn,numeric__Giá trị ghi số > Đi vay và phải trả,numeric__Giá trị ghi số > Sẵn sàng để bán,numeric__Giá trị ghi số > Công nợ và nợ khác hạch toán theo giá trị phân bổ,numeric__Đơn vị: triệu đồng > Tổng cộng giá trị ghi số
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,33.261.991,-,-,33.261.991 (*),,,33261991.0,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,59.563.523,-,-,59.563.523 (*),,,59563523.0,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,57.475,57.475 (*),,,,,57475.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.000.000,-,-,2.000.000 (*),,,2000000.0,,,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,622.694,-,521.102,1.143.796 (*),,,622694.0,,521102.0,
,,,-,-,95.448.208,-,578.577,96.026.785 (*),,,95448208.0,,578577.0,
