row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến bắt động sản chưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến bắt động sản chưa bàn giao,Chi phí bán hàng liên quan đến bắt động sản chưa bàn giao,21.144.833.151,3.381.993.869,21144833151.0,3381993869.0
Chi phí đầu tư các dự án,Ngắn hạn: > Chi phí đầu tư các dự án,Chi phí đầu tư các dự án,13.907.685.928,17.649.087.093,13907685928.0,17649087093.0
Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 30),Ngắn hạn: > Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 30),Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 30),-,22.367.438.971,,22367438971.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,10.899.271.753,7.707.409.722,10899271753.0,7707409722.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,45.951.790.832,51.105.929.655,45951790832.0,51105929655.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,13.758.356.533,14.998.010.000,13758356533.0,14998010000.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,3.794.858.971,7.073.012.167,3794858971.0,7073012167.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,17.553.215.504,22.071.022.167,17553215504.0,22071022167.0
