row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Góp vốn vào công ty con,Vốn góp thừa đã thu,Chuyển nhượng cổ phần phải thu,Chuyển nhượng cổ phần đã thu,Đơn vị tính: VNDNhận góp vốn,numeric__Mối quan hệ,numeric__Góp vốn vào công ty con,numeric__Vốn góp thừa đã thu,numeric__Chuyển nhượng cổ phần phải thu,numeric__Chuyển nhượng cổ phần đã thu,numeric__Đơn vị tính: VNDNhận góp vốn
Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Tập đoàn Vingroup- Công ty CP,Công ty mẹ,,,,,(5.256.710.680.000),,,,,,-5256710680000.0
"Công ty Cổ phần Phát triển Đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")","Công ty Cổ phần Phát triển Đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")","Công ty Cổ phần Phát triển Đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")",Công ty trong cùng Tập đoàn,,,,,(117.851.000.000),,,,,,-117851000000.0
Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Vinmec,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Vinmec,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Vinmec,Công ty trong cùng Tập đoàn,,,,,(3.235.212.364.980),,,,,,-3235212364980.0
"Công Ty Cổ Phần Dịch Vụ Thương Mại Tổng Hợp Vincommerce (""Công ty Vincommerce"")","Công Ty Cổ Phần Dịch Vụ Thương Mại Tổng Hợp Vincommerce (""Công ty Vincommerce"")","Công Ty Cổ Phần Dịch Vụ Thương Mại Tổng Hợp Vincommerce (""Công ty Vincommerce"")",Công ty trong cùng Tập đoàn,,,3.051.817.186.542,(3.051.817.186.542),,,,,3051817186542.0,-3051817186542.0,
Công ty Suối Hoa,Công ty Suối Hoa,Công ty Suối Hoa,Công ty con,337.120.000.000,(107.720.000.000),,,,,337120000000.0,-107720000000.0,,,
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,,,1.470.926.719.594,(839.926.719.594),,,,,1470926719594.0,-839926719594.0,
Công ty An Phong,Công ty An Phong,Công ty An Phong,Công ty con,47.522.160.000,,,,,,47522160000.0,,,,
Công ty Cổ phần Đầu tư Kinh doanh Phát triển và Đô thị Ngôi Sao Xanh,Công ty Cổ phần Đầu tư Kinh doanh Phát triển và Đô thị Ngôi Sao Xanh,Công ty Cổ phần Đầu tư Kinh doanh Phát triển và Đô thị Ngôi Sao Xanh,Công ty con (trước khi bán),229.710.000.000,,,,,,229710000000.0,,,,
