row_label_raw,row_label_full,"Mã số 21 - Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khácMua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",Năm nay > (296.629.625.779),Đơn vị tính: VND > Năm trước > (201.803.656.253),numeric__Năm nay > (296.629.625.779),numeric__Đơn vị tính: VND > Năm trước > (201.803.656.253)
Đặt cọc cho các dự án bất động sản tiềm năng,Đặt cọc cho các dự án bất động sản tiềm năng,Đặt cọc cho các dự án bất động sản tiềm năng,(5.500.000.000.000),(98.598.899.076),-5500000000000.0,-98598899076.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(5.796.629.625.779),(300.402.555.329),-5796629625779.0,-300402555329.0
"Mã số 23 – Tiền chi cho vay, mua các công cụ nợ của đơn vị khácTiền gửi ngân hàng có kỳ hạn","Mã số 23 – Tiền chi cho vay, mua các công cụ nợ của đơn vị khácTiền gửi ngân hàng có kỳ hạn","Mã số 23 – Tiền chi cho vay, mua các công cụ nợ của đơn vị khácTiền gửi ngân hàng có kỳ hạn",(1.745.668.494.949),-,-1745668494949.0,
Tiền chi cho vay các đơn vị khác,Tiền chi cho vay các đơn vị khác,Tiền chi cho vay các đơn vị khác,(2.565.000.000.000),(3.671.300.000.000),-2565000000000.0,-3671300000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(4.310.668.494.949),(3.671.300.000.000),-4310668494949.0,-3671300000000.0
"Mã số 24 - Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền thu từ hoạt động cho vay đơn vị khácThu hồi đặt cọc hợp tác đầu tư và mua cổ phần của công ty con","Mã số 24 - Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền thu từ hoạt động cho vay đơn vị khácThu hồi đặt cọc hợp tác đầu tư và mua cổ phần của công ty con","Mã số 24 - Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền thu từ hoạt động cho vay đơn vị khácThu hồi đặt cọc hợp tác đầu tư và mua cổ phần của công ty con",8.799.288.499.007,2.011.980.555.556,8799288499007.0,2011980555556.0
"Mã số 24 - Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền thu từ hoạt động cho vay đơn vị khácThu hồi đặt cọc hợp tác đầu tư và mua cổ phần của công ty con","Mã số 24 - Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền thu từ hoạt động cho vay đơn vị khácThu hồi đặt cọc hợp tác đầu tư và mua cổ phần của công ty con","Mã số 24 - Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền thu từ hoạt động cho vay đơn vị khácThu hồi đặt cọc hợp tác đầu tư và mua cổ phần của công ty con",1.574.694.088.166,-,1574694088166.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.373.982.587.173,2.011.980.555.556,10373982587173.0,2011980555556.0
Mã số 26 - Tiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu từ thanh lý công ty conThu hồi khoản đặt cọc mua cổ phần công ty con,Mã số 26 - Tiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu từ thanh lý công ty conThu hồi khoản đặt cọc mua cổ phần công ty con,Mã số 26 - Tiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu từ thanh lý công ty conThu hồi khoản đặt cọc mua cổ phần công ty con,3.543.335.000.000,3.915.532.908.563,3543335000000.0,3915532908563.0
Mã số 26 - Tiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu từ thanh lý công ty conThu hồi khoản đặt cọc mua cổ phần công ty con,Mã số 26 - Tiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu từ thanh lý công ty conThu hồi khoản đặt cọc mua cổ phần công ty con,Mã số 26 - Tiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu từ thanh lý công ty conThu hồi khoản đặt cọc mua cổ phần công ty con,-,356.073.333.335,,356073333335.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.543.335.000.000,4.271.606.241.898,3543335000000.0,4271606241898.0
"Mã số 27 – Tiền thu lãi cho vay, cổ tức và lợi nhuận được chiaThu lãi từ hoạt động cho vayCổ tức nhận được","Mã số 27 – Tiền thu lãi cho vay, cổ tức và lợi nhuận được chiaThu lãi từ hoạt động cho vayCổ tức nhận được","Mã số 27 – Tiền thu lãi cho vay, cổ tức và lợi nhuận được chiaThu lãi từ hoạt động cho vayCổ tức nhận được",1.625.471.114.134812.500.000.000,1.256.126.392.709309.945.323.060,1.6254711141348126e+24,1.25612639270931e+24
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.437.971.114.134,1.566.071.715.769,2437971114134.0,1566071715769.0
