row_label_raw,row_label_full,col_0,col_1,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,numeric__col_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6
,,,,Tiền cung cấp dịch vụ và cho thuê TTTM phải thu,Tiền cung cấp dịch vụ và cho thuê TTTM đã thu,Chi phí mua hàng hóa và dịch vụ phải trả,Chi phí mua hàng hóa và dịch vụ đã trả,Hoàn trả tiền tạm ứng,Tiền thu từ chương trình quản lý dòng tiền tập trung,Tiền chi chương trình quản lý dòng tiền tập trung,,,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Tiền cung cấp dịch vụ và cho thuê TTTM phải thu,Tiền cung cấp dịch vụ và cho thuê TTTM đã thu,Chi phí mua hàng hóa và dịch vụ phải trả,Chi phí mua hàng hóa và dịch vụ đã trả,Hoàn trả tiền tạm ứng,Tiền thu từ chương trình quản lý dòng tiền tập trung,Tiền chi chương trình quản lý dòng tiền tập trung,,,,,,,,
Tập đoàn Vingroup - Công ty CP,Bên liên quan > Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,,,(111.614.323.192),132.869.278.273,,,,,,,-111614323192.0,132869278273.0,,,
Công ty Vincom Retail Miền Bắc,Bên liên quan > Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,133.798.047.813,(154.859.131.879),,,,(629.518.881.281),651.198.895.206,,133798047813.0,-154859131879.0,,,,-629518881281.0,651198895206.0
Công ty Vincom Retail Miền Nam,Bên liên quan > Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,81.656.781.639,(72.532.472.270),,,,(1.642.193.412.071),1.561.191.067.029,,81656781639.0,-72532472270.0,,,,-1642193412071.0,1561191067029.0
Công ty TNHH Metropolis,Bên liên quan > Công ty TNHH Metropolis,Công ty TNHH Metropolis,Công ty con (trước thời điểm chuyển nhượng),,,,,,(245.220.490.373),255.630.620.250,,,,,,,-245220490373.0,255630620250.0
Công ty TNHH Riverview Complex Đà Nẵng,Bên liên quan > Công ty TNHH Riverview Complex Đà Nẵng,Công ty TNHH Riverview Complex Đà Nẵng,Công ty con (trước thời điểm sáp nhập),,,,,,(147.049.577.871),172.544.668.759,,,,,,,-147049577871.0,172544668759.0
Công ty TNHH Kinh doanh Bất Đông Sản Vinhomes 2,Bên liên quan > Công ty TNHH Kinh doanh Bất Đông Sản Vinhomes 2,Công ty TNHH Kinh doanh Bất Đông Sản Vinhomes 2,Công ty trong cùng Tập đoàn trước đây,,,(89.785.281.934),74.246.676.849,,,,,,,-89785281934.0,74246676849.0,,,
Công ty Xây dựng Vincom,Bên liên quan > Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty trong cùng Tập đoàn,,,(602.167.897.499),464.246.943.231,425.857.065.548,,,,,,-602167897499.0,464246943231.0,425857065548.0,,
