row_label_raw,row_label_full,col_0,Quyền sử dụngđất có thời hạn,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Đơn vị tính: VND,numeric__Quyền sử dụngđất có thời hạn,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND
,,,Quyền sử dụngđất có thời hạn,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Tổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,191.249.096.106,1.870.931.341.599,330.935.861.779,2.393.116.299.484,191249096106.0,1870931341599.0,330935861779.0,2393116299484.0
Xây dựng cơ bảnhoàn thành,Nguyên giá: > Xây dựng cơ bảnhoàn thành,Xây dựng cơ bảnhoàn thành,-,360.354.172.879,114.696.081.046,475.050.253.925,,360354172879.0,114696081046.0,475050253925.0
Giảm do quyếttoán hợp đồng,Nguyên giá: > Giảm do quyếttoán hợp đồng,Giảm do quyếttoán hợp đồng,-,(31.231.973.192),(9.611.376.497),(40.843.349.689),,-31231973192.0,-9611376497.0,-40843349689.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,191.249.096.106,2.200.053.541.286,436.020.566.328,2.827.323.203.720,191249096106.0,2200053541286.0,436020566328.0,2827323203720.0
Giá trị hao mònlũy kế:,Giá trị hao mònlũy kế:,Giá trị hao mònlũy kế:,Giá trị hao mònlũy kế:,Giá trị hao mònlũy kế:,Giá trị hao mònlũy kế:,Giá trị hao mònlũy kế:,,,,
Số dư đầu năm,Giá trị hao mònlũy kế: > Số dư đầu năm,Số dư đầu năm,4.257.588.574,44.274.053.239,24.216.799.742,72.748.441.555,4257588574.0,44274053239.0,24216799742.0,72748441555.0
Khấu hao trongnăm,Giá trị hao mònlũy kế: > Khấu hao trongnăm,Khấu hao trongnăm,4.103.113.267,59.613.005.518,32.215.244.331,95.931.363.116,4103113267.0,59613005518.0,32215244331.0,95931363116.0
Số dư cuối năm,Giá trị hao mònlũy kế: > Số dư cuối năm,Số dư cuối năm,8.360.701.841,103.887.058.757,56.432.044.073,168.679.804.671,8360701841.0,103887058757.0,56432044073.0,168679804671.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,186.991.507.532,1.826.657.288.360,306.719.062.037,2.320.367.857.929,186991507532.0,1826657288360.0,306719062037.0,2320367857929.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,182.888.394.265,2.096.166.482.529,379.588.522.255,2.658.643.399.049,182888394265.0,2096166482529.0,379588522255.0,2658643399049.0
