row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Đi vay đã trả,Chuyển đổi khoảnvay thành cổ phầnuu đãi,Lãi vay phải trả,Lãi vay đã trả/trả trước,Cổ tức phải trả,Cổ tức đã trả,numeric__Mối quan hệ,numeric__Đi vay đã trả,numeric__Chuyển đổi khoảnvay thành cổ phầnuu đãi,numeric__Lãi vay phải trả,numeric__Lãi vay đã trả/trả trước,numeric__Cổ tức phải trả,numeric__Cổ tức đã trả
Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,1.063.170.400.000,,(19.004.170.901),30.479.810.103,(130.385.978.462),130.385.978.462,,1063170400000.0,,-19004170901.0,30479810103.0,-130385978462.0,130385978462.0
Warburg Pincus,Warburg Pincus,Warburg Pincus,Cổ đông lớn,,314.400.000.000,(22.135.886.422),22.135.886.422,(555.009.192.009),555.009.192.009,,,314400000000.0,-22135886422.0,22135886422.0,-555009192009.0,555009192009.0
"Credit Suisse AG, Singapore Branch","Credit Suisse AG, Singapore Branch","Credit Suisse AG, Singapore Branch",Cổ đông lớn,,104.800.000.000,,,(185.002.397.336),185.002.397.336,,,104800000000.0,,,-185002397336.0,185002397336.0
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Cổ đông lớn,,,,,(80.947.254.143),80.947.254.143,,,,,,-80947254143.0,80947254143.0
Công ty Cổ phần Đầu tư và Phát triển Địa Ốc thành phố Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa Ốc thành phố Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa Ốc thành phố Hoàng Gia,Cổ đông lớn,,,,,(105.206.935.731),105.206.935.731,,,,,,-105206935731.0,105206935731.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Cổ đông lớn(từ tháng 4 năm 2017),,,,,(151.875.490.226),151.875.490.226,,,,,,-151875490226.0,151875490226.0
Công ty Cổ phần Vinpearlland,Công ty Cổ phần Vinpearlland,Công ty Cổ phần Vinpearlland,Cổ đông lớn,,,,,(53.126.813.737),53.126.813.737,,,,,,-53126813737.0,53126813737.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016:,,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Đi vay,Đi vay đã trả,Lãi vay phải trả,Lãi vay đã trả/trả trước,Cổ tức đã trả,,,,,,,,
Tập đoàn Vingroup - Công ty CP,Bên liên quan > Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,(213.170.400.000),8.058.541.666.667,(733.709.733.081),1.275.731.419.183,,,,-213170400000.0,8058541666667.0,-733709733081.0,1275731419183.0,,
Warburg Pincus,Bên liên quan > Warburg Pincus,Warburg Pincus,Cổ đông,,,(32.082.027.269),32.082.027.269,602.776.400.000,,,,,-32082027269.0,32082027269.0,602776400000.0,
"Credit Suisse AG, Singapore Branch","Bên liên quan > Credit Suisse AG, Singapore Branch","Credit Suisse AG, Singapore Branch",Cổ đông,,,(10.694.009.090),10.694.009.090,200.925.100.000,,,,,-10694009090.0,10694009090.0,200925100000.0,
Công ty Cổ phần Trung tâm Văn hóa Thẻ thao và Giải trí Hà Nội,Công ty Cổ phần Trung tâm Văn hóa Thẻ thao và Giải trí Hà Nội,Công ty Cổ phần Trung tâm Văn hóa Thẻ thao và Giải trí Hà Nội,Công ty con (trước đây),,,,,,,,,,,,,
,,,,,45.000.000.000,,,,,,,45000000000.0,,,,
