row_label_raw,row_label_full,col_0,Số đầu năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc và cho vay",274.391.642.755,642.724.126.454,274391642755.0,642724126454.0
Phải thu các khoản chi hộ (i),Phải thu các khoản chi hộ (i),Phải thu các khoản chi hộ (i),301.519.809.693,89.643.914.170,301519809693.0,89643914170.0
Phải thu khoản đặt cọc cho hợp đồng hợp tác đầu tư (ii),Phải thu khoản đặt cọc cho hợp đồng hợp tác đầu tư (ii),Phải thu khoản đặt cọc cho hợp đồng hợp tác đầu tư (ii),-,1.500.000.000.000,,1500000000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,38.556.603.530,84.348.586.090,38556603530.0,84348586090.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,614.468.055.978,2.316.716.626.714,614468055978.0,2316716626714.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,345.455.608.768,1.937.405.816.735,345455608768.0,1937405816735.0
Phải thu khác từ các bên liên quan(Thuyết minh số 30),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 30),Phải thu khác từ các bên liên quan(Thuyết minh số 30),269.012.447.210,379.310.809.979,269012447210.0,379310809979.0
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(22.000.000.000),(22.000.000.000),-22000000000.0,-22000000000.0
