row_label_raw,row_label_full,Ngắn hạn:Đặt cọc cho bên liên quan cho mục đích đầu tư (Thuyết minh số 30) (i),Số cuối năm > 5.173.000.000.000,Đơn vị tính: VND > Số đầu năm > -,numeric__Số cuối năm > 5.173.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > -
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.173.000.000.000,-,5173000000000.0,
Dài hạn:Đặt cọc cho bên liên quan cho mục đích đầu tư (Thuyết minh số 30) (i),Dài hạn:Đặt cọc cho bên liên quan cho mục đích đầu tư (Thuyết minh số 30) (i),Dài hạn:Đặt cọc cho bên liên quan cho mục đích đầu tư (Thuyết minh số 30) (i),327.000.000.000,-,327000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,327.000.000.000,-,327000000000.0,
