row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm trước,Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay
Lãi tiền vay và lãi trái phiếu,Lãi tiền vay và lãi trái phiếu,Lãi tiền vay và lãi trái phiếu,487.882.762.178,1.032.832.440.318,487882762178.0,1032832440318.0
Phân bổ chỉ phí phát hành trái phiếu,Phân bổ chỉ phí phát hành trái phiếu,Phân bổ chỉ phí phát hành trái phiếu,5.516.111.149,4.783.333.332,5516111149.0,4783333332.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,-,6.800.000.000,,6800000000.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,52.726.657,1.383.341.060,52726657.0,1383341060.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,493.451.599.984,1.045.799.114.710,493451599984.0,1045799114710.0
