row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính:VND > Số đầu năm,Đơn vị tính:VND > Số đầu năm_1,numeric__Thuyết minh,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính:VND > Số đầu năm,numeric__Đơn vị tính:VND > Số đầu năm_1
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,16.1,12.199.788.928.000,-,6.546.213.822.000,-,161.0,12199788928000.0,,6546213822000.0,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,16.2,-,-,3.311.388.888.887,-,162.0,,,3311388888887.0,
Đầu tư nắm giữ đến ngày đáo hạn (i),Đầu tư nắm giữ đến ngày đáo hạn (i),Đầu tư nắm giữ đến ngày đáo hạn (i),,1.700.000.000.000,-,-,-,,1700000000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,13.899.788.928.000,-,9.857.602.710.887,-,,13899788928000.0,,9857602710887.0,
