row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6) > Công ty Vincom Retail Miền Nam,Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6) > Công ty con,Nội dung > Phải thu khách hàng (Thuyết minh số 6) > Phí dịch vụ phải thu,Đơn vị tính: VND > Số cuối năm > Phải thu khách hàng (Thuyết minh số 6) > 25.570.511.427,Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng (Thuyết minh số 6) > 13.979.376.537,numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6) > Công ty con,numeric__Nội dung > Phải thu khách hàng (Thuyết minh số 6) > Phí dịch vụ phải thu,numeric__Đơn vị tính: VND > Số cuối năm > Phải thu khách hàng (Thuyết minh số 6) > 25.570.511.427,numeric__Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng (Thuyết minh số 6) > 13.979.376.537
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,Phí dịch vụ phải thu,9.694.502.131,22.450.306.466,,,9694502131.0,22450306466.0
Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,Các công ty khác trong cùng Tập đoàn,,Phải thu khác,5.009.452.166,16.670.170.759,,,5009452166.0,16670170759.0
,,,,,40.274.465.724,53.099.853.762,,,40274465724.0,53099853762.0
