row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Góp vốn vào công ty con,Đặt cọc cho mục đích đầu tư,Chuyển nhượng khoản đầu tư phải thu,Đơn vị tính: VND Chuyển nhượng khoản đầu tư đã thu,numeric__Mối quan hệ,numeric__Góp vốn vào công ty con,numeric__Đặt cọc cho mục đích đầu tư,numeric__Chuyển nhượng khoản đầu tư phải thu,numeric__Đơn vị tính: VND Chuyển nhượng khoản đầu tư đã thu
Tập đoàn Vir-group - Công ty CP,Tập đoàn Vir-group - Công ty CP,Tập đoàn Vir-group - Công ty CP,Công ty mẹ,,5.500.000.000.000,,,,,5500000000000.0,,
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,2.500.000.000.000,,,,,2500000000000.0,,,
Công ty Vincom Retail Miền Nam (*),Công ty Vincom Retail Miền Nam (*),Công ty Vincom Retail Miền Nam (*),Công ty con,5.000.000.000.000,,1.846.424.894.000,(1.846.424.894.000),,5000000000000.0,,1846424894000.0,-1846424894000.0
Công ty Vinfast (**),Công ty Vinfast (**),Công ty Vinfast (**),Công ty trong cùng Tập đoàn,,,3.312.335.000.000,(3.312.335.000.000),,,,3312335000000.0,-3312335000000.0
