row_label_raw,row_label_full,Năm trước > Số dư đầu năm,Cổ phần phổ thôngcó quyền biểu quyết > Năm trước > 8.246.919.920.000,Cổ phần ưu đãi > Năm trước > 5.925.325.550.000,Thặng dư vốn cổ phần > Năm trước > 98.197.697.689,Lỗ lũy kế > Năm trước > (461.122.993.929),Đơn vị tính: VND > Năm trước > 13.809.320.173.760,numeric__Cổ phần phổ thôngcó quyền biểu quyết > Năm trước > 8.246.919.920.000,numeric__Cổ phần ưu đãi > Năm trước > 5.925.325.550.000,numeric__Thặng dư vốn cổ phần > Năm trước > 98.197.697.689,numeric__Lỗ lũy kế > Năm trước > (461.122.993.929),numeric__Đơn vị tính: VND > Năm trước > 13.809.320.173.760
- Vốn cổ phần phát hành thêm,- Vốn cổ phần phát hành thêm,- Vốn cổ phần phát hành thêm,6.919.479.480.000,-,1.690.294.564.980,-,8.609.774.044.980,6919479480000.0,,1690294564980.0,,8609774044980.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,(1.079.197.079.133),(1.079.197.079.133),,,,-1079197079133.0,-1079197079133.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,837.803.867.367,837.803.867.367,,,,837803867367.0,837803867367.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,15.166.399.400.000,5.925.325.550.000,1.788.492.262.669,(702.516.205.695),22.177.701.006.974,15166399400000.0,5925325550000.0,1788492262669.0,-702516205695.0,22177701006974.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,15.166.399.400.000,5.925.325.550.000,1.788.492.262.669,(702.516.205.695),22.177.701.006.974,15166399400000.0,5925325550000.0,1788492262669.0,-702516205695.0,22177701006974.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,1.704.059.526.018,1.704.059.526.018,,,,1704059526018.0,1704059526018.0
- Chuyển đổi khoản vay thànhcổ phiếu ưu đãi (i),Năm nay > - Chuyển đổi khoản vay thànhcổ phiếu ưu đãi (i),- Chuyển đổi khoản vay thànhcổ phiếu ưu đãi (i),-,419.200.000.000,36.000.000.000,-,455.200.000.000,,419200000000.0,36000000000.0,,455200000000.0
- Mua và hủy bổ cổ phiếu ưudãi (ii),Năm nay > - Mua và hủy bổ cổ phiếu ưudãi (ii),- Mua và hủy bổ cổ phiếu ưudãi (ii),-,(2.500.137.620.000),2.499.887.606.238,-,(250.013.762),,-2500137620000.0,2499887606238.0,,-250013762.0
- Chuyển đổi cổ phiếu ưu đãithành cổ phiếu phổ thông (iii),Năm nay > - Chuyển đổi cổ phiếu ưu đãithành cổ phiếu phổ thông (iii),- Chuyển đổi cổ phiếu ưu đãithành cổ phiếu phổ thông (iii),3.844.387.930.000,(3.844.387.930.000),-,-,-,3844387930000.0,-3844387930000.0,,,
- Chia cổ tức (iv),Năm nay > - Chia cổ tức (iv),- Chia cổ tức (iv),-,-,-,(1.261.554.061.644),(1.261.554.061.644),,,,-1261554061644.0,-1261554061644.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,19.010.787.330.000,-,4.324.379.868.907,(260.010.741.321),23.075.156.457.586,19010787330000.0,,4324379868907.0,-260010741321.0,23075156457586.0
