row_label_raw,row_label_full,col_0,01/01/2023 > Giá trị,01/01/2023 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2023 > Giá trị,31/12/2023 > Số có khả năng trả nợ,numeric__01/01/2023 > Giá trị,numeric__01/01/2023 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2023 > Giá trị,numeric__31/12/2023 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,22.1 Vay ngắn hạn,,,,,,
Vay ngắn hạn (I),22.1 Vay ngắn hạn > Vay ngắn hạn (I),Vay ngắn hạn (I),4.958.956.788.461,4.958.956.788.461,3.128.808.277.190,4.226.359.859.621,3.861.405.206.030,3.861.405.206.030,4958956788461.0,4958956788461.0,3128808277190.0,4226359859621.0,3861405206030.0,3861405206030.0
Vay và nợ dài hạn đến hạn trả,22.1 Vay ngắn hạn > Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,28.078.427.965,28.078.427.965,-,28.078.427.965,-,-,28078427965.0,28078427965.0,,28078427965.0,,
,,,4.987.035.216.426,4.987.035.216.426,3.128.808.277.190,4.254.438.287.586,3.861.405.206.030,3.861.405.206.030,4987035216426.0,4987035216426.0,3128808277190.0,4254438287586.0,3861405206030.0,3861405206030.0
22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,,,,,,
Vay dài hạn (II),22.2 Vay dài hạn > Vay dài hạn (II),Vay dài hạn (II),39.086.211.080,39.086.211.080,-,39.086.211.080,-,-,39086211080.0,39086211080.0,,39086211080.0,,
Trái phiếu thường (III),22.2 Vay dài hạn > Trái phiếu thường (III),Trái phiếu thường (III),961.677.333.333,961.677.333.333,2.317.333.335,280.000.000.000,683.994.666.668,683.994.666.668,961677333333.0,961677333333.0,2317333335.0,280000000000.0,683994666668.0,683994666668.0
,,,1.000.763.544.413,1.000.763.544.413,2.317.333.335,319.086.211.080,683.994.666.668,683.994.666.668,1000763544413.0,1000763544413.0,2317333335.0,319086211080.0,683994666668.0,683994666668.0
Khoản đến hạn trả trong 12 tháng,22.2 Vay dài hạn > Khoản đến hạn trả trong 12 tháng,Khoản đến hạn trả trong 12 tháng,(28.078.427.965),(28.078.427.965),-,(28.078.427.965),-,-,-28078427965.0,-28078427965.0,,-28078427965.0,,
Khoản đến hạn trả sau 12 tháng,22.2 Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,972.685.116.448,972.685.116.448,,,683.994.666.668,683.994.666.668,972685116448.0,972685116448.0,,,683994666668.0,683994666668.0
