row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Ngày đáo hạn,Tài sản đảm bảo,31/12/2023,01/01/2023,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Ngày đáo hạn,numeric__Tài sản đảm bảo,numeric__31/12/2023,numeric__01/01/2023
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,VND,VND,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,Vay ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 08/06/2024 đến ngày 28/11/2024,"Quyền sử dụng đất, nhà cửa vất kiến trúc, máy móc thiết bị, các khoản đầu tư tài chính, Phải thu ngắn hạn của khách hàng",2.099.999.122.426,2.245.982.574.292,,,,,2099999122426.0,2245982574292.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Vay ngắn hạn > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,VND,Theo từng lần giải ngân,Từ ngày 23/01/2024 đến ngày 19/12/2024,Phải thu ngắn hạn của khách hàng,1.299.986.261.421,1.269.264.353.839,,,,,1299986261421.0,1269264353839.0
Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,Vay ngắn hạn > Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 31/05/2024 đến ngày 25/12/2024,"Cổ phiếu, Tiền gửi có kỳ hạn, Quyền sử dụng đất",192.163.803.072,302.288.554.396,,,,,192163803072.0,302288554396.0
Ngân hàng TMCP Quốc Dân,Vay ngắn hạn > Ngân hàng TMCP Quốc Dân,Ngân hàng TMCP Quốc Dân,VND,Theo từng lần giải ngân,Từ ngày 29/01/2024 đến ngày 01/04/2024,Phải thu ngắn hạn của khách hàng,21.869.433.909,245.984.608.882,,,,,21869433909.0,245984608882.0
Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,Vay ngắn hạn > Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 25/02/2023 đến ngày 14/06/2023,Phải thu ngắn hạn của khách hàng,-,191.725.426.010,,,,,,191725426010.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Vay ngắn hạn > Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,VND,Theo từng lần giải ngân,Từ ngày 29/04/2024 đến ngày 21/07/2024,Phải thu ngắn hạn của khách hàng,123.073.483.305,171.524.431.179,,,,,123073483305.0,171524431179.0
Ngân hàng TMCP An Bình,Vay ngắn hạn > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,VND,Theo từng lần giải ngân,Từ ngày 08/06/2023 đến ngày 21/12/2023,Phải thu ngắn hạn của khách hàng,-,149.564.167.448,,,,,,149564167448.0
Ngân hàng TMCP Quản Đội - Chi nhánh Hồ Chí Minh,Vay ngắn hạn > Ngân hàng TMCP Quản Đội - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Quản Đội - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 19/01/2023 đến ngày 12/06/2023,Phải thu ngắn hạn của khách hàng,-,140.478.216.894,,,,,,140478216894.0
Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,Vay ngắn hạn > Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,VND,Theo từng lần giải ngân,Từ ngày 01/02/2024 đến ngày 03/02/2024,Phải thu ngắn hạn của khách hàng,64.237.841.824,64.537.856.868,,,,,64237841824.0,64537856868.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,Vay ngắn hạn > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 16/01/2023 đến ngày 24/02/2023,Phải thu ngắn hạn của khách hàng,-,63.414.071.151,,,,,,63414071151.0
Ngân hàng TNHH MTV United Overseas Bank,Vay ngắn hạn > Ngân hàng TNHH MTV United Overseas Bank,Ngân hàng TNHH MTV United Overseas Bank,VND,Theo từng lần giải ngân,Ngày 15/03/2023,Phải thu ngắn hạn của khách hàng,-,49.727.012.359,,,,,,49727012359.0
Ngân hàng TMCP Tiên Phong,Vay ngắn hạn > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,VND,Theo từng lần giải ngân,Ngày 22/02/2024,Phải thu ngắn hạn của khách hàng,6.240.749.927,39.208.158.041,,,,,6240749927.0,39208158041.0
Ngân hàng Malayan Banking Berhad - Chi nhánh Hồ Chí Minh,Vay ngắn hạn > Ngân hàng Malayan Banking Berhad - Chi nhánh Hồ Chí Minh,Ngân hàng Malayan Banking Berhad - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Ngày 09/02/2023,Phải thu ngắn hạn của khách hàng,-,22.033.534.621,,,,,,22033534621.0
Vay các tổ chức và cá nhân khác,Vay ngắn hạn > Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,VND,"Từ 0%/năm đến 8,75%/năm",Từ ngày 03/03/2024 đến ngày 02/08/2024,Tín chấp,53.834.510.146,3.223.822.481,,,,,53834510146.0,3223822481.0
,,,,,,,3.861.405.206.030,4.958.956.788.461,,,,,3861405206030.0,4958956788461.0
