row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Ngày đáo hạn,Tài sản đảm bảo,31/12/2023 > VND,01/01/2023 > VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Ngày đáo hạn,numeric__Tài sản đảm bảo,numeric__31/12/2023 > VND,numeric__01/01/2023 > VND
Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,Vay đãi hạn,,,,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Vay đãi hạn > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,-,39.086.211.080,,,,,,39086211080.0
- Khoản vay 1,Vay đãi hạn > - Khoản vay 1,- Khoản vay 1,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 13/05/2024,Máy móc thiết bị,-,9.667.281.805,,,,,,9667281805.0
- Khoản vay 2,Vay đãi hạn > - Khoản vay 2,- Khoản vay 2,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 22/01/2024,Máy móc thiết bị,-,8.157.496.992,,,,,,8157496992.0
- Khoản vay 3,Vay đãi hạn > - Khoản vay 3,- Khoản vay 3,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 10/06/2024,Máy móc thiết bị,-,6.917.658.235,,,,,,6917658235.0
- Khoản vay 4,Vay đãi hạn > - Khoản vay 4,- Khoản vay 4,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 06/05/2024,Máy móc thiết bị,-,6.761.473.422,,,,,,6761473422.0
- Khoản vay 5,Vay đãi hạn > - Khoản vay 5,- Khoản vay 5,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 08/07/2024,Máy móc thiết bị,-,4.002.672.661,,,,,,4002672661.0
- Khoản vay 6,Vay đãi hạn > - Khoản vay 6,- Khoản vay 6,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 13/12/2023,Máy móc thiết bị,-,2.951.362.465,,,,,,2951362465.0
- Khoản vay 7,Vay đãi hạn > - Khoản vay 7,- Khoản vay 7,VND,Lãi suất cơ bản công thêm 3%/năm,Ngày 29/05/2023,Máy móc thiết bị,-,628.265.500,,,,,,628265500.0
,,,,,,,-,39.086.211.080,,,,,,39086211080.0
Khoản đến hạn trả trong 12 tháng,Vay đãi hạn > Khoản đến hạn trả trong 12 tháng,Khoản đến hạn trả trong 12 tháng,Khoản đến hạn trả trong 12 tháng,Khoản đến hạn trả trong 12 tháng,Khoản đến hạn trả trong 12 tháng,Khoản đến hạn trả trong 12 tháng,-,(28.078.427.965),,,,,,-28078427965.0
Khoản đến hạn trả sau 12 tháng,Vay đãi hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,-,11.007.783.115,,,,,,11007783115.0
