row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cuquản lý",Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cuquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.124.410.448,1.901.571.181.253,57.164.168.705,19.292.434.439,1.983.152.194.845,5124410448.0,1901571181253.0,57164168705.0,19292434439.0,1983152194845.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,5.029.095.018,-,-,5.029.095.018,,5029095018.0,,,5029095018.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(115.207.738.158),(371.818.182),(984.709.895),(116.564.266.235),,-115207738158.0,-371818182.0,-984709895.0,-116564266235.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.124.410.448,1.791.392.538.113,56.792.350.523,18.307.724.544,1.871.617.023.628,5124410448.0,1791392538113.0,56792350523.0,18307724544.0,1871617023628.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,3.953.835.217,1.176.943.846.763,38.640.817.642,17.469.711.324,1.237.008.210.946,3953835217.0,1176943846763.0,38640817642.0,17469711324.0,1237008210946.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,372.665.310,189.650.994.470,5.524.352.538,668.387.750,196.216.400.068,372665310.0,189650994470.0,5524352538.0,668387750.0,196216400068.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(84.757.705.547),(298.357.797),(890.159.317),(85.946.222.661),,-84757705547.0,-298357797.0,-890159317.0,-85946222661.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,4.326.500.527,1.281.837.135.686,43.866.812.383,17.247.939.757,1.347.278.388.353,4326500527.0,1281837135686.0,43866812383.0,17247939757.0,1347278388353.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.170.575.231,724.627.334.490,18.523.351.063,1.822.723.115,746.143.983.899,1170575231.0,724627334490.0,18523351063.0,1822723115.0,746143983899.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,797.909.921,509.555.402.427,12.925.538.140,1.059.784.787,524.338.635.275,797909921.0,509555402427.0,12925538140.0,1059784787.0,524338635275.0
