row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2023 > VND,Năm 2022(đã điều chỉnh) > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2023 > VND,numeric__Năm 2022(đã điều chỉnh) > VND
01,01,01,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01 > 01,01,1. Lợi nhuận trước thuế,,(948.316.575.287),(2.061.240.851.344),,,-948316575287.0,-2061240851344.0
01,01,01,2. Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,- Khấu hao tài sản cố định và bất động sản đầu tư,,197.967.025.704,206.584.348.219,,,197967025704.0,206584348219.0
03,01 > 03,03,- Các khoản dự phòng,,472.151.291.294,1.686.826.891.116,,,472151291294.0,1686826891116.0
04,01 > 04,04,"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,178.820.460,64.480.965,,,178820460.0,64480965.0
05,01 > 05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(60.612.221.300),(127.686.223.794),,,-60612221300.0,-127686223794.0
06,01 > 06,06,- Chi phí lãi vay,,540.249.396.617,496.290.701.336,,,540249396617.0,496290701336.0
08,01 > 08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,201.617.737.488,200.839.346.498,,,201617737488.0,200839346498.0
09,01 > 09,09,"- Tăng, giảm các khoản phải thu",,2.115.481.389.500,(1.232.352.605.367),,,2115481389500.0,-1232352605367.0
10,01 > 10,10,"- Tăng, giảm hàng tồn kho",,(88.802.694.963),(48.275.928.803),,,-88802694963.0,-48275928803.0
11,01 > 11,11,"- Tăng, giảm các khoản phải trả",,(723.118.876.744),1.037.618.939.046,,,-723118876744.0,1037618939046.0
12,01 > 12,12,"- Tăng, giảm chi phí trả trước",,140.831.534.664,(62.911.420.773),,,140831534664.0,-62911420773.0
14,01 > 14,14,- Tiền lãi vay đã trả,,(532.596.710.875),(470.474.579.819),,,-532596710875.0,-470474579819.0
15,01 > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,-,(33.991.773.753),,,,-33991773753.0
17,01 > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,-,(16.558.664.493),,,,-16558664493.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.113.412.379.070,(626.106.687.464),,,1113412379070.0,-626106687464.0
21,21,21,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,21 > 21,21,"1. Tiền chi để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",,(5.064.376.293),(242.931.455.394),,,-5064376293.0,-242931455394.0
22,21 > 22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,42.940.726.125,25.977.399.964,,,42940726125.0,25977399964.0
23,21 > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(61.670.245.228),(663.790.499.122),,,-61670245228.0,-663790499122.0
24,21 > 24,24,"4. Tiền thu hồi cho vay, bản lại công cụ nợ của đơn vị khác",,104.168.595.509,63.200.000.000,,,104168595509.0,63200000000.0
25,21 > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(856.764.784),-,,,-856764784.0,
26,21 > 26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-,34.446.000.000,,,,34446000000.0
27,21 > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,49.269.898.388,12.654.049.268,,,49269898388.0,12654049268.0
30,21 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,128.787.833.717,(770.444.505.284),,,128787833717.0,-770444505284.0
31,31,31,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,31 > 31,31,"1. Tiền thu từ phát hành có phiếu, nhận vốn góp của chủ sở hữu",,-,257.600.700.000,,,,257600700000.0
33,31 > 33,33,2. Tiền thu từ đi vay,,3.128.808.277.190,10.122.860.996.720,,,3128808277190.0,10122860996720.0
34,31 > 34,34,3. Tiền trả nợ gốc vay,,(4.545.446.070.701),(9.067.878.629.284),,,-4545446070701.0,-9067878629284.0
36,31 > 36,36,"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-,(73.598.316.300),,,,-73598316300.0
40,31 > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(1.416.637.793.511),1.238.984.751.136,,,-1416637793511.0,1238984751136.0
