row_label_raw,row_label_full,col_0,01/01/2023 > Giá trịVND,01/01/2023 > Dư phòngVND,Trong năm > TăngVND,Trong năm > GiảmVND,31/12/2023 > Giá trịVND,31/12/2023 > Dư phòngVND,numeric__01/01/2023 > Giá trịVND,numeric__01/01/2023 > Dư phòngVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Dư phòngVND
Bên liên quan,Bên liên quan,Bên liên quan,1.408.600.515.523,(75.075.867.661),3.458.007.856,37.400.000.000,1.374.658.523.379,(75.075.867.661),1408600515523.0,-75075867661.0,3458007856.0,37400000000.0,1374658523379.0,-75075867661.0
Công ty CP Nhà Hoà Bình (i),Công ty CP Nhà Hoà Bình (i),Công ty CP Nhà Hoà Bình (i),580.723.728.950,(75.075.867.661),-,-,580.723.728.950,(75.075.867.661),580723728950.0,-75075867661.0,,,580723728950.0,-75075867661.0
Công ty CP Đầu tư Địa ốc Tiến Phát (ii),Công ty CP Đầu tư Địa ốc Tiến Phát (ii),Công ty CP Đầu tư Địa ốc Tiến Phát (ii),522.703.603.628,-,500.000.000,-,523.203.603.628,-,522703603628.0,,500000000.0,,523203603628.0,
Công ty TNHH Tiến Phát Đông Bắc (iii),Công ty TNHH Tiến Phát Đông Bắc (iii),Công ty TNHH Tiến Phát Đông Bắc (iii),266.533.270.665,-,2.958.007.856,37.400.000.000,232.091.278.521,-,266533270665.0,,2958007856.0,37400000000.0,232091278521.0,
Công ty TNHH Sài Gòn Ngày Môi (iv),Công ty TNHH Sài Gòn Ngày Môi (iv),Công ty TNHH Sài Gòn Ngày Môi (iv),30.847.839.632,-,-,-,30.847.839.632,-,30847839632.0,,,,30847839632.0,
Công ty CP Đầu tư và Năng lượng tái tạo Hoà Bình,Công ty CP Đầu tư và Năng lượng tái tạo Hoà Bình,Công ty CP Đầu tư và Năng lượng tái tạo Hoà Bình,7.792.072.648,-,-,-,7.792.072.648,-,7792072648.0,,,,7792072648.0,
Bên khác,Bên khác,Bên khác,8.759.053.735,(5.788.817.040),-,-,8.759.053.735,(5.788.817.040),8759053735.0,-5788817040.0,,,8759053735.0,-5788817040.0
Công ty CP Chứng khoán Sen Vàng,Công ty CP Chứng khoán Sen Vàng,Công ty CP Chứng khoán Sen Vàng,1.429.181.347,(1.429.181.347),-,-,1.429.181.347,(1.429.181.347),1429181347.0,-1429181347.0,,,1429181347.0,-1429181347.0
Ông Lê Anh Dùng,Ông Lê Anh Dùng,Ông Lê Anh Dùng,4.359.635.693,(4.359.635.693),-,-,4.359.635.693,(4.359.635.693),4359635693.0,-4359635693.0,,,4359635693.0,-4359635693.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,2.970.236.695,-,-,-,2.970.236.695,-,2970236695.0,,,,2970236695.0,
,,,1.417.359.569.258,(80.864.684.701),3.458.007.856,37.400.000.000,1.383.417.577.114,(80.864.684.701),1417359569258.0,-80864684701.0,3458007856.0,37400000000.0,1383417577114.0,-80864684701.0
