row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Ông David Martin Ruiz,Ông David Martin Ruiz,Ông David Martin Ruiz,Thành viên HĐQT (miễn nhiệm ngày 27/06/2023),
Ông Dương Văn Hùng,Ông Dương Văn Hùng,Ông Dương Văn Hùng,Thành viên HĐQT (miễn nhiệm ngày 27/06/2023),
Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Ông Nguyễn Công Phú,Thành viên HĐQT (miễn nhiệm ngày 27/06/2023),
Ông Albert Antoine,Ông Albert Antoine,Ông Albert Antoine,Thành viên HĐQT (miễn nhiệm ngày 27/06/2023),
Ông Nguyễn Tân Thọ,Ông Nguyễn Tân Thọ,Ông Nguyễn Tân Thọ,Phó Tổng Giám đốc,
Ông Đình Văn Thanh,Ông Đình Văn Thanh,Ông Đình Văn Thanh,Phó Tổng Giám đốc,
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Phó Tổng Giám đốc,
Ông Nguyễn Khánh Hoàng,Ông Nguyễn Khánh Hoàng,Ông Nguyễn Khánh Hoàng,Phó Tổng Giám đốc (bổ nhiệm ngày 01/06/2023),
Ông Trương Quang Nhật,Ông Trương Quang Nhật,Ông Trương Quang Nhật,Phó Tổng Giám đốc (miễn nhiệm ngày 18/05/2023),
Ông Dương Đình Thanh,Ông Dương Đình Thanh,Ông Dương Đình Thanh,Phó Tổng Giám đốc (miễn nhiệm ngày 23/03/2023),
Ông Nguyễn Công Thiện,Ông Nguyễn Công Thiện,Ông Nguyễn Công Thiện,Giảm đốc điều hành Miền Trung (bổ nhiệm ngày 18/07/2023),
Ông Lê Văn Viên,Ông Lê Văn Viên,Ông Lê Văn Viên,Giảm đốc điều hành Miền Tây (bổ nhiệm ngày 18/07/2023),
Ông Nguyễn Lê Tân,Ông Nguyễn Lê Tân,Ông Nguyễn Lê Tân,Giảm đốc điều hành Hợp đồng - Cung ứng (bổ nhiệm ngày 18/07/2023),
Ông Nguyễn Ngọc Hải,Ông Nguyễn Ngọc Hải,Ông Nguyễn Ngọc Hải,Giảm đốc điều hành Thị trường nước ngoài (bổ nhiệm ngày 18/07/2023),
Ông Nguyễn Trung Thành,Ông Nguyễn Trung Thành,Ông Nguyễn Trung Thành,Giảm đốc Tài chính (miễn nhiệm ngày 01/07/2023),
Bà Nguyễn Kim Loan,Bà Nguyễn Kim Loan,Bà Nguyễn Kim Loan,Quyền Giám đốc tài chính (bổ nhiệm ngày 20/11/2023),
Ông Phạm Quốc Thắng,Ông Phạm Quốc Thắng,Ông Phạm Quốc Thắng,Kế toán trưởng (miễn nhiệm ngày 31/05/2023),
Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,Kế toán trưởng (bổ nhiệm ngày 01/06/2023),
Bà Phạm Thị Quốc Hương,Bà Phạm Thị Quốc Hương,Bà Phạm Thị Quốc Hương,Thư ký Chủ tịch HĐQT,
