row_label_raw,row_label_full,col_0,31/12/2023,01/01/2023(dã điều chỉnh),numeric__31/12/2023,numeric__01/01/2023(dã điều chỉnh)
,,,VND,VND,,
Tiền đặt cọc của khách hàng mua nhà (i),Tiền đặt cọc của khách hàng mua nhà (i),Tiền đặt cọc của khách hàng mua nhà (i),108.587.352.682,112.524.871.697,108587352682.0,112524871697.0
Phải trả nhân viên về chỉ phí công trình,Phải trả nhân viên về chỉ phí công trình,Phải trả nhân viên về chỉ phí công trình,35.673.530.214,35.848.484.340,35673530214.0,35848484340.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,39.331.442.915,413.267.000,39331442915.0,413267000.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,5.924.454.375,2.597.286.375,5924454375.0,2597286375.0
"Tiền trợ cấp thời việc, thanh toán chế độ cho nhân viên","Tiền trợ cấp thời việc, thanh toán chế độ cho nhân viên","Tiền trợ cấp thời việc, thanh toán chế độ cho nhân viên",13.895.326.130,1.291.700.467,13895326130.0,1291700467.0
Cổ tức lợi nhuận phải trả,Cổ tức lợi nhuận phải trả,Cổ tức lợi nhuận phải trả,411.280.195,411.280.195,411280195.0,411280195.0
"Nhận ký quỹ, ký cược ngắn hạn khác","Nhận ký quỹ, ký cược ngắn hạn khác","Nhận ký quỹ, ký cược ngắn hạn khác",943.873.618,2.344.150.785,943873618.0,2344150785.0
Quỹ học bổng,Quỹ học bổng,Quỹ học bổng,2.000.000.000,-,2000000000.0,
Phải trả khác,Phải trả khác,Phải trả khác,9.387.362.233,4.555.973.048,9387362233.0,4555973048.0
,,,216.154.622.362,159.987.013.907,216154622362.0,159987013907.0
Trong đó: số nợ quá hạn chưa thanh toán,Trong đó: số nợ quá hạn chưa thanh toán,Trong đó: số nợ quá hạn chưa thanh toán,Trong đó: số nợ quá hạn chưa thanh toán,Trong đó: số nợ quá hạn chưa thanh toán,,
Tiền đặt cọc của khách hàng mua nhà (i),Trong đó: số nợ quá hạn chưa thanh toán > Tiền đặt cọc của khách hàng mua nhà (i),Tiền đặt cọc của khách hàng mua nhà (i),108.587.352.682,112.524.871.697,108587352682.0,112524871697.0
Bảo hiểm xã hội,Trong đó: số nợ quá hạn chưa thanh toán > Bảo hiểm xã hội,Bảo hiểm xã hội,35.333.669.317,-,35333669317.0,
,,,143.921.021.999,112.524.871.697,143921021999.0,112524871697.0
Phải trả ngắn hạn khác với bên liên quan,Phải trả ngắn hạn khác với bên liên quan,Phải trả ngắn hạn khác với bên liên quan,Phải trả ngắn hạn khác với bên liên quan,Phải trả ngắn hạn khác với bên liên quan,,
Bà Bùi Ngọc Mai,Phải trả ngắn hạn khác với bên liên quan > Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,-,91.479.452,,91479452.0
Công ty TNHH MTV Xây dựng và Địa Óc,Phải trả ngắn hạn khác với bên liên quan > Công ty TNHH MTV Xây dựng và Địa Óc,Công ty TNHH MTV Xây dựng và Địa Óc,2.534.600.000,2.534.600.000,2534600000.0,2534600000.0
Hòa Bình Hà Nội,Hòa Bình Hà Nội,Hòa Bình Hà Nội,Hòa Bình Hà Nội,Hòa Bình Hà Nội,,
Công ty CP Đầu tư Phát triển Hòa Bình Huế,Hòa Bình Hà Nội > Công ty CP Đầu tư Phát triển Hòa Bình Huế,Công ty CP Đầu tư Phát triển Hòa Bình Huế,800.000.000,800.000.000,800000000.0,800000000.0
Công ty TNHH Hòa Bình Myanmar,Hòa Bình Hà Nội > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,353.114.410,353.114.410,353114410.0,353114410.0
,,,3.687.714.410,3.779.193.862,3687714410.0,3779193862.0
