row_label_raw,row_label_full,col_0,31/12/2023 > Giá trịVND,31/12/2023 > Dự phòngVND,01/01/2023 (đã điều chỉnh) > Giá trịVND,01/01/2023 (đã điều chỉnh) > Dự phòngVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Dự phòngVND,numeric__01/01/2023 (đã điều chỉnh) > Giá trịVND,numeric__01/01/2023 (đã điều chỉnh) > Dự phòngVND
Bên liên quan,Bên liên quan,Bên liên quan,101.940.785.329,-,100.856.864.420,-,101940785329.0,,100856864420.0,
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,93.007.827.818,-,91.320.044.449,-,93007827818.0,,91320044449.0,
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,8.932.957.511,-,9.536.819.971,-,8932957511.0,,9536819971.0,
Bên khác,Bên khác,Bên khác,7.107.095.927.340,(1.253.946.788.698),8.579.827.975.213,(931.302.367.655),7107095927340.0,-1253946788698.0,8579827975213.0,-931302367655.0
Công ty CP Tập đoàn Ecopark,Công ty CP Tập đoàn Ecopark,Công ty CP Tập đoàn Ecopark,376.394.808.738,-,600.041.716.818,-,376394808738.0,,600041716818.0,
Công ty CP Terra Gold Việt Nam,Công ty CP Terra Gold Việt Nam,Công ty CP Terra Gold Việt Nam,310.178.119.282,-,312.178.119.282,-,310178119282.0,,312178119282.0,
Công ty CP Tập đoàn Sunshine,Công ty CP Tập đoàn Sunshine,Công ty CP Tập đoàn Sunshine,293.934.434.420,(153.893.944.255),297.059.959.420,(64.719.884.801),293934434420.0,-153893944255.0,297059959420.0,-64719884801.0
Công ty CP Vinhomes,Công ty CP Vinhomes,Công ty CP Vinhomes,239.476.458.425,-,190.510.916.901,-,239476458425.0,,190510916901.0,
Công ty CP Đầu tư Địa ốc Phú Lộc,Công ty CP Đầu tư Địa ốc Phú Lộc,Công ty CP Đầu tư Địa ốc Phú Lộc,192.305.130.522,-,8.213.080.248,-,192305130522.0,,8213080248.0,
Công ty CP Đầu tư Phát triển và Xây dựng Thánh Đỏ,Công ty CP Đầu tư Phát triển và Xây dựng Thánh Đỏ,Công ty CP Đầu tư Phát triển và Xây dựng Thánh Đỏ,68.160.659.037,(31.036.331.175),275.785.084.204,(41.291.535.030),68160659037.0,-31036331175.0,275785084204.0,-41291535030.0
Công ty TNHH Xây dựng Dân dụng Phú Quốc,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Công ty TNHH Xây dựng Dân dụng Phú Quốc,140.214.242.649,-,269.732.752.167,-,140214242649.0,,269732752167.0,
Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,174.996.338.301,-,177.832.669.378,-,174996338301.0,,177832669378.0,
Công ty TNHH Carava Resort,Công ty TNHH Carava Resort,Công ty TNHH Carava Resort,138.227.360.767,-,147.198.113.019,-,138227360767.0,,147198113019.0,
Công ty CP Garnuda Land (HCMC),Công ty CP Garnuda Land (HCMC),Công ty CP Garnuda Land (HCMC),338.023.023.966,-,402.629.293.312,-,338023023966.0,,402629293312.0,
Công ty CP Bất đông sản Tân Á Đại Thành - Meyland,Công ty CP Bất đông sản Tân Á Đại Thành - Meyland,Công ty CP Bất đông sản Tân Á Đại Thành - Meyland,190.223.075.940,-,178.386.428.602,-,190223075940.0,,178386428602.0,
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,4.644.962.275.293,(1.069.016.513.268),5.720.259.841.862,(825.290.947.824),4644962275293.0,-1069016513268.0,5720259841862.0,-825290947824.0
,,,7.209.036.712.669,(1.253.946.788.698),8.680.684.839.633,(931.302.367.655),7209036712669.0,-1253946788698.0,8680684839633.0,-931302367655.0
