row_label_raw,row_label_full,col_0,Môi quanhệ,31/12/2023,31/12/2023_1,01/01/2023,01/01/2023_1,numeric__Môi quanhệ,numeric__31/12/2023,numeric__31/12/2023_1,numeric__01/01/2023,numeric__01/01/2023_1
,,,Môi quanhệ,GốcVND,LãiVND,GốcVND,LãiVND,,,,,
Công ty TNHH SơnHòa Bình,Công ty TNHH SơnHòa Bình,Công ty TNHH SơnHòa Bình,Công tycon,7.000.000.000,503.424.659,-,-,,7000000000.0,503424659.0,,
Công ty CP Đầu tưXây dựng Hạ tầngHòa Bình,Công ty CP Đầu tưXây dựng Hạ tầngHòa Bình,Công ty CP Đầu tưXây dựng Hạ tầngHòa Bình,Công tycon,10.000.000.000,-,-,-,,10000000000.0,,,
,,,,17.000.000.000,503.424.659,-,-,,17000000000.0,503424659.0,,
