row_label_raw,row_label_full,col_0,Mã số,Số liệu trên báo cáo tài chính riêng năm trước > VND,Số liệu điều chỉnh lại > VND,Chênh lệch > VND,Ghi chú,numeric__Mã số,numeric__Số liệu trên báo cáo tài chính riêng năm trước > VND,numeric__Số liệu điều chỉnh lại > VND,numeric__Chênh lệch > VND,numeric__Ghi chú
a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,a) Bảng cân đối kế toán riêng,,,,,
- Phải thu ngắn hạn của khách hàng,a) Bảng cân đối kế toán riêng > - Phải thu ngắn hạn của khách hàng,- Phải thu ngắn hạn của khách hàng,131,6.562.722.058.281,8.680.684.839.633,2.117.962.781.352,(i),131.0,6562722058281.0,8680684839633.0,2117962781352.0,
- Trả trước cho người bán ngắn hạn,a) Bảng cân đối kế toán riêng > - Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,132,718.232.931.834,1.296.723.832.487,578.490.900.653,(i),132.0,718232931834.0,1296723832487.0,578490900653.0,
- Dự phòng đầu tư tài chính dài hạn,a) Bảng cân đối kế toán riêng > - Dự phòng đầu tư tài chính dài hạn,- Dự phòng đầu tư tài chính dài hạn,254,(490.480.829.938),(472.587.914.676),17.892.915.262,(ii),254.0,-490480829938.0,-472587914676.0,17892915262.0,
- Tổng cộng tài sản,a) Bảng cân đối kế toán riêng > - Tổng cộng tài sản,- Tổng cộng tài sản,270,14.980.182.794.664,17.694.529.391.931,2.714.346.597.267,,270.0,14980182794664.0,17694529391931.0,2714346597267.0,
- Phải trả người bán ngắn hạn,a) Bảng cân đối kế toán riêng > - Phải trả người bán ngắn hạn,- Phải trả người bán ngắn hạn,311,4.746.382.990.340,5.289.025.406.653,542.642.416.313,(i),311.0,4746382990340.0,5289025406653.0,542642416313.0,
- Người mua trả tiền trước ngắn hạn,a) Bảng cân đối kế toán riêng > - Người mua trả tiền trước ngắn hạn,- Người mua trả tiền trước ngắn hạn,312,912.395.531.324,3.030.358.312.676,2.117.962.781.352,(i),312.0,912395531324.0,3030358312676.0,2117962781352.0,
- Phải trả ngắn hạn khác,a) Bảng cân đối kế toán riêng > - Phải trả ngắn hạn khác,- Phải trả ngắn hạn khác,319,124.138.529.567,159.987.013.907,35.848.484.340,(i),319.0,124138529567.0,159987013907.0,35848484340.0,
- Dự phòng phải trả ngắn hạn,a) Bảng cân đối kế toán riêng > - Dự phòng phải trả ngắn hạn,- Dự phòng phải trả ngắn hạn,321,,37.722.270.047,37.722.270.047,(iii),321.0,,37722270047.0,37722270047.0,
- Dự phòng phải trả dài hạn,a) Bảng cân đối kế toán riêng > - Dự phòng phải trả dài hạn,- Dự phòng phải trả dài hạn,342,247.686.574.479,209.964.304.432,(37.722.270.047),(iii),342.0,247686574479.0,209964304432.0,-37722270047.0,
- Lợi nhuận sau thuế chưa phân phối,a) Bảng cân đối kế toán riêng > - Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,421,(1.470.220.626.539),(1.452.327.711.277),17.892.915.262,(ii),421.0,-1470220626539.0,-1452327711277.0,17892915262.0,
- Tổng cộng nguồn vốn,a) Bảng cân đối kế toán riêng > - Tổng cộng nguồn vốn,- Tổng cộng nguồn vốn,440,14.980.182.794.664,17.694.529.391.931,2.714.346.597.267,,440.0,14980182794664.0,17694529391931.0,2714346597267.0,
b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,,,,,
- Giá vốn hàng bán,b) Báo cáo kết quả hoạt động kinh doanh riêng > - Giá vốn hàng bán,- Giá vốn hàng bán,11,13.679.520.031.289,13.708.264.979.247,28.744.947.958,(iv),11.0,13679520031289.0,13708264979247.0,28744947958.0,
- Chi phí tài chính,b) Báo cáo kết quả hoạt động kinh doanh riêng > - Chi phí tài chính,- Chi phí tài chính,22,726.348.719.178,708.455.803.916,(17.892.915.262),(ii),22.0,726348719178.0,708455803916.0,-17892915262.0,
- Thu nhập khác,b) Báo cáo kết quả hoạt động kinh doanh riêng > - Thu nhập khác,- Thu nhập khác,31,10.702.872.395,39.447.820.353,28.744.947.958,(iv),31.0,10702872395.0,39447820353.0,28744947958.0,
- Tổng lợi nhuận kế toán trước thuế,b) Báo cáo kết quả hoạt động kinh doanh riêng > - Tổng lợi nhuận kế toán trước thuế,- Tổng lợi nhuận kế toán trước thuế,50,(2.079.133.766.606),(2.061.240.851.344),17.892.915.262,(ii),50.0,-2079133766606.0,-2061240851344.0,17892915262.0,
- Lợi nhuận sau thuế TNDN,b) Báo cáo kết quả hoạt động kinh doanh riêng > - Lợi nhuận sau thuế TNDN,- Lợi nhuận sau thuế TNDN,60,(2.079.308.521.940),(2.061.415.606.678),17.892.915.262,(ii),60.0,-2079308521940.0,-2061415606678.0,17892915262.0,
