row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dư vốncổ phầnVND,Quỹ đầu tưphát triểnVND,Lợi nhuận chưaphân phốiVND,CộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dư vốncổ phầnVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận chưaphân phốiVND,numeric__CộngVND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.424.157.840.000,346.669.112.981,94.548.441.157,856.172.630.011,3.721.548.024.149,2424157840000.0,346669112981.0,94548441157.0,856172630011.0,3721548024149.0
Phát hành cổ phiếu cho cán bộ côngnhân viên và nhà đầu tư chiến lược,Phát hành cổ phiếu cho cán bộ côngnhân viên và nhà đầu tư chiến lược,Phát hành cổ phiếu cho cán bộ côngnhân viên và nhà đầu tư chiến lược,145.300.700.000,112.300.000.000,-,-,257.600.700.000,145300700000.0,112300000000.0,,,257600700000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,171.874.160.000,-,-,(171.874.160.000),-,171874160000.0,,,-171874160000.0,
Lỗ trong năm trước (đã điều chỉnh),Lỗ trong năm trước (đã điều chỉnh),Lỗ trong năm trước (đã điều chỉnh),-,-,-,(2.061.415.606.678),(2.061.415.606.678),,,,-2061415606678.0,-2061415606678.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(73.696.306.200),(73.696.306.200),,,,-73696306200.0,-73696306200.0
Trích quỹ thường Ban điều hànhvà cán bộ chủ chốt,Trích quỹ thường Ban điều hànhvà cán bộ chủ chốt,Trích quỹ thường Ban điều hànhvà cán bộ chủ chốt,-,-,-,(1.514.268.410),(1.514.268.410),,,,-1514268410.0,-1514268410.0
Số dư cuối năm trước (đã điều chỉnh),Số dư cuối năm trước (đã điều chỉnh),Số dư cuối năm trước (đã điều chỉnh),2.741.332.700.000,458.969.112.981,94.548.441.157,(1.452.327.711.277),1.842.522.542.861,2741332700000.0,458969112981.0,94548441157.0,-1452327711277.0,1842522542861.0
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,(949.115.254.620),(949.115.254.620),,,,-949115254620.0,-949115254620.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.741.332.700.000,458.969.112.981,94.548.441.157,(2.401.442.965.897),893.407.288.241,2741332700000.0,458969112981.0,94548441157.0,-2401442965897.0,893407288241.0
