row_label_raw,row_label_full,col_0,31/12/2023 > Giá trịVND,31/12/2023 > Dự phòngVND,01/01/2023 > Giá trịVND,01/01/2023 > Dự phòngVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Dự phòngVND,numeric__01/01/2023 > Giá trịVND,numeric__01/01/2023 > Dự phòngVND
Bên liên quan,Bên liên quan,Bên liên quan,2.542.725.924,-,429.436.703,-,2542725924.0,,429436703.0,
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,2.542.725.924,-,429.436.703,-,2542725924.0,,429436703.0,
Bên khác,Bên khác,Bên khác,3.077.330.735.505,(518.089.644.991),3.641.274.793.871,(423.156.144.824),3077330735505.0,-518089644991.0,3641274793871.0,-423156144824.0
Công ty CP Gamuda Land (HCMC),Công ty CP Gamuda Land (HCMC),Công ty CP Gamuda Land (HCMC),342.587.177.616,-,192.361.872.767,-,342587177616.0,,192361872767.0,
Công ty CP Tập đoàn Ecopark,Công ty CP Tập đoàn Ecopark,Công ty CP Tập đoàn Ecopark,193.653.920.518,-,388.619.261.083,-,193653920518.0,,388619261083.0,
Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,Công ty CP Kinh doanh và Xây dựng Quang Minh,124.490.373.682,(124.490.373.682),124.490.373.682,(124.490.373.682),124490373682.0,-124490373682.0,124490373682.0,-124490373682.0
Công ty TNHH MTV Đầu tư Phát triển Gia Cư,Công ty TNHH MTV Đầu tư Phát triển Gia Cư,Công ty TNHH MTV Đầu tư Phát triển Gia Cư,117.341.148.812,-,51.824.240.787,-,117341148812.0,,51824240787.0,
Công ty CP Quốc Lộc Phát,Công ty CP Quốc Lộc Phát,Công ty CP Quốc Lộc Phát,99.171.630.796,-,168.996.363.227,-,99171630796.0,,168996363227.0,
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,2.200.086.484.081,(393.599.271.309),2.714.982.682.325,(298.665.771.142),2200086484081.0,-393599271309.0,2714982682325.0,-298665771142.0
,,,3.079.873.461.429,(518.089.644.991),3.641.704.230.574,(423.156.144.824),3079873461429.0,-518089644991.0,3641704230574.0,-423156144824.0
