row_label_raw,row_label_full,col_0,31/12/2023,01/01/2023(dã điều chỉnh),numeric__31/12/2023,numeric__01/01/2023(dã điều chỉnh)
,,,VND,VND,,
Bên liên quan,Bên liên quan,Bên liên quan,3.130.040.553,2.798.466.707,3130040553.0,2798466707.0
Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,3.130.040.553,2.798.466.707,3130040553.0,2798466707.0
Bên khác,Bên khác,Bên khác,2.387.938.395.610,3.027.559.845.969,2387938395610.0,3027559845969.0
Công ty CP Quốc Lộc Phát,Công ty CP Quốc Lộc Phát,Công ty CP Quốc Lộc Phát,59.770.996.318,303.777.748.520,59770996318.0,303777748520.0
Công ty CP Tập đoàn Ecopark,Công ty CP Tập đoàn Ecopark,Công ty CP Tập đoàn Ecopark,205.973.247.302,213.570.020.395,205973247302.0,213570020395.0
Công ty CP Đầu tư Địa ốc Phú Lộc,Công ty CP Đầu tư Địa ốc Phú Lộc,Công ty CP Đầu tư Địa ốc Phú Lộc,170.155.943.842,170.576.226.039,170155943842.0,170576226039.0
Công ty TNHH Đầu tư và Phát triển Đỏ thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đỏ thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đỏ thị Gia Lâm,50.075.688.504,204.464.722.134,50075688504.0,204464722134.0
Công ty TNHH Octava Novena Property,Công ty TNHH Octava Novena Property,Công ty TNHH Octava Novena Property,71.000.000.000,71.000.000.000,71000000000.0,71000000000.0
Công ty CP CapitalLand - Hiền Đức,Công ty CP CapitalLand - Hiền Đức,Công ty CP CapitalLand - Hiền Đức,79.892.395.449,122.100.410.931,79892395449.0,122100410931.0
Công ty CP Gamuda Land (HCMC),Công ty CP Gamuda Land (HCMC),Công ty CP Gamuda Land (HCMC),105.033.506.837,219.615.163.725,105033506837.0,219615163725.0
Công ty TNHH H9BC Investment,Công ty TNHH H9BC Investment,Công ty TNHH H9BC Investment,74.167.370.054,53.180.391.584,74167370054.0,53180391584.0
Công ty CP Vinhomes,Công ty CP Vinhomes,Công ty CP Vinhomes,72.154.314.039,45.152.723.438,72154314039.0,45152723438.0
Công ty CP Xây lắp Sunshine E&C,Công ty CP Xây lắp Sunshine E&C,Công ty CP Xây lắp Sunshine E&C,109.568.655.669,109.568.655.669,109568655669.0,109568655669.0
Công ty TNHH Bất động sản Đà lạt Valley,Công ty TNHH Bất động sản Đà lạt Valley,Công ty TNHH Bất động sản Đà lạt Valley,114.129.503.014,114.129.503.014,114129503014.0,114129503014.0
Công ty CP Đầu tư và Khách sạn My Way Hạ Long,Công ty CP Đầu tư và Khách sạn My Way Hạ Long,Công ty CP Đầu tư và Khách sạn My Way Hạ Long,79.678.500.976,79.678.500.976,79678500976.0,79678500976.0
Công ty TNHH Xây dựng Nam Đảo,Công ty TNHH Xây dựng Nam Đảo,Công ty TNHH Xây dựng Nam Đảo,129.950.093.279,98.621.018.732,129950093279.0,98621018732.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,1.066.388.280.327,1.222.124.760.812,1066388280327.0,1222124760812.0
,,,2.391.068.436.163,3.030.358.312.676,2391068436163.0,3030358312676.0
