row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2023 > VND,Năm 2022 (đã điều chỉnh) > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2023 > VND,numeric__Năm 2022 (đã điều chỉnh) > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,26,7.273.062.081.215,14.064.477.169.586,,26.0,7273062081215.0,14064477169586.0
10,10,10,2. Doanh thu thuần bán hàng và cung cấp dịch vụ,,7.273.062.081.215,14.064.477.169.586,,,7273062081215.0,14064477169586.0
11,11,11,3. Giá vốn hàng bán,27,7.058.370.375.025,13.708.264.979.247,,27.0,7058370375025.0,13708264979247.0
20,20,20,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,214.691.706.190,356.212.190.339,,,214691706190.0,356212190339.0
21,21,21,5. Doanh thu hoạt động tài chính,28,92.725.820.602,127.174.476.103,,28.0,92725820602.0,127174476103.0
22,22,22,6. Chi phí tài chính,29,590.091.027.534,708.455.803.916,,29.0,590091027534.0,708455803916.0
23,23,23,Trong đó: Chi phí lãi vay,,540.249.396.617,496.290.701.336,,,540249396617.0,496290701336.0
26,26,26,7. Chi phí quản lý doanh nghiệp,30,687.621.780.258,1.874.119.534.223,,30.0,687621780258.0,1874119534223.0
30,30,30,8. Lợi nhuận thuần từ hoạt động kinh doanh,,(970.295.281.000),(2.099.188.671.697),,,-970295281000.0,-2099188671697.0
31,31,31,9. Thu nhập khác,31,41.492.126.122,39.447.820.353,,31.0,41492126122.0,39447820353.0
32,32,32,10. Chi phí khác,32,19.513.420.409,1.500.000.000,,32.0,19513420409.0,1500000000.0
40,40,40,11. Lợi nhuận khác,,21.978.705.713,37.947.820.353,,,21978705713.0,37947820353.0
50,50,50,12. Tổng lợi nhuận kế toán trước thuế,,(948.316.575.287),(2.061.240.851.344),,,-948316575287.0,-2061240851344.0
52,52,52,13. Chi phí thuế TNDN hoãn lại,34,798.679.333,174.755.334,,34.0,798679333.0,174755334.0
60,60,60,14. Lợi nhuận sau thuế TNDN,,(949.115.254.620),(2.061.415.606.678),,,-949115254620.0,-2061415606678.0
