row_label_raw,row_label_full,Bên cho vay > Ngân hàng TPbank - CN An Giang > Ngân Hàng TNHH MTV Woori Việt Nam - CN Hà Nam,Hợp đồng/Khé ước > 11/2024/HDTD/AGG > VN124008915/2024/WBVN303-SPF,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND > 200.000.000.000 > 50.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 5.400.000.000 > 49.673.684.43$,Thời hạn vay (Tháng) > 6 > 11,Lãi suất(%) > theo từng lần nhận nợ,Mục đích vay > Sản xuất kinh doanh,Hình thức đảm bảo > QSEĐ > Tiền gửi,numeric__Hợp đồng/Khé ước > 11/2024/HDTD/AGG > VN124008915/2024/WBVN303-SPF,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND > 200.000.000.000 > 50.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 5.400.000.000 > 49.673.684.43$,numeric__Thời hạn vay (Tháng) > 6 > 11,numeric__Lãi suất(%) > theo từng lần nhận nợ,numeric__Mục đích vay > Sản xuất kinh doanh,numeric__Hình thức đảm bảo > QSEĐ > Tiền gửi
Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,MLBUS-H10220193,,280.000.000.000,,84.000.000.000,60,theo từng lần nhận nợ,Sản xuất kinh doanh,QSEĐ,,,280000000000.0,,84000000000.0,60.0,,,
Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,MLBUS-H10220194,,80.000.000.000,,72.000.000.000,60,theo từng lần nhận nợ,Sản xuất kinh doanh,QSEĐ,,,80000000000.0,,72000000000.0,60.0,,,
Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,STLLBS-H30240272,,50.000.000.000,,39.129.953.121,12,theo từng lần nhận nợ,Sản xuất kinh doanh,QSEĐ,,,50000000000.0,,39129953121.0,12.0,,,
Ngân hàng TMCP Đông Nam Á - CN An Giang,Ngân hàng TMCP Đông Nam Á - CN An Giang,Ngân hàng TMCP Đông Nam Á - CN An Giang,FEF2436280034/HĐHMTDLT,,100.000.000.000,,950.000.000,12,theo từng lần nhận nợ,"Bổ sung vốn lưu động, cấp bảo lãnh , phát hành LC",Tiền gửi,,,100000000000.0,,950000000.0,12.0,,,
Ngân hàng TMCP Thịnh vượng và Phát triển - CN An Giang,Ngân hàng TMCP Thịnh vượng và Phát triển - CN An Giang,Ngân hàng TMCP Thịnh vượng và Phát triển - CN An Giang,AGG/22097,,150.000.000.000,,34.890.000.446,6,theo từng lần nhận nợ,Sản xuất kinh doanh,QSEĐ,,,150000000000.0,,34890000446.0,6.0,,,
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Số ANG.DN.2855.080925,,25.000.000.000,,25.000.000.000,1 năm,Theo từng lần nhận nợ,Bổ sung vốn phục vụ hoạt động sản xuất kinh doanh,"Tài sản gắn liền với đất tọa lạc tại thừa đất số 25, từ bản đồ số 12 & thừa đất số 20. Địa chỉ: P. Mỹ Long, Tp Long Xuyên, An Giang",,,25000000000.0,,25000000000.0,,,,
