row_label_raw,row_label_full,17. PHẢI TRẢ NGƯỜI BÁN,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,749.389.739.404,749.389.739.404,464.666.728.448,464.666.728.448,749389739404.0,749389739404.0,464666728448.0,464666728448.0
Bên khác,Bên khác,Bên khác,,,,,,,,
+ Công ty Cổ phần Khai Anh Bình Thuận,Bên khác > + Công ty Cổ phần Khai Anh Bình Thuận,+ Công ty Cổ phần Khai Anh Bình Thuận,88.722.041.620,88.722.041.620,,,88722041620.0,88722041620.0,,
+ Công ty TNHH Trường Thắng,Bên khác > + Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,1.721.504.600,1.721.504.600,1.721.504.600,1.721.504.600,1721504600.0,1721504600.0,1721504600.0,1721504600.0
+ Công ty Sterling And Wilson Private Limited,Bên khác > + Công ty Sterling And Wilson Private Limited,+ Công ty Sterling And Wilson Private Limited,24.876.982.503,24.876.982.503,24.876.982.503,24.876.982.503,24876982503.0,24876982503.0,24876982503.0,24876982503.0
+ Công ty Cổ phần Nông Sản Tràng An,Bên khác > + Công ty Cổ phần Nông Sản Tràng An,+ Công ty Cổ phần Nông Sản Tràng An,6.335.119.350,6.335.119.350,,,6335119350.0,6335119350.0,,
+ Công ty TNHH MTV Thái Thị Thu Hạnh,Bên khác > + Công ty TNHH MTV Thái Thị Thu Hạnh,+ Công ty TNHH MTV Thái Thị Thu Hạnh,1.432.670.715,1.432.670.715,2.753.488.700,2.753.488.700,1432670715.0,1432670715.0,2753488700.0,2753488700.0
+ Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,Bên khác > + Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,+ Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,9.096.149.958,9.096.149.958,28.022.356.922,28.022.356.922,9096149958.0,9096149958.0,28022356922.0,28022356922.0
+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,Bên khác > + Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,,,11.008.030.089,11.008.030.089,,,11008030089.0,11008030089.0
+ Công ty TNHH MTV KD&DT Toàn Cầu,Bên khác > + Công ty TNHH MTV KD&DT Toàn Cầu,+ Công ty TNHH MTV KD&DT Toàn Cầu,90.910.342.129,90.910.342.129,,,90910342129.0,90910342129.0,,
+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),Bên khác > + Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),50.000.200,50.000.200,50.000.200,50.000.200,50000200.0,50000200.0,50000200.0,50000200.0
+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),Bên khác > + Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),75.198.170.000,75.198.170.000,75.198.170.000,75.198.170.000,75198170000.0,75198170000.0,75198170000.0,75198170000.0
+ Công ty Sinohydro,Bên khác > + Công ty Sinohydro,+ Công ty Sinohydro,1.515.143.508,1.515.143.508,1.515.143.508,1.515.143.508,1515143508.0,1515143508.0,1515143508.0,1515143508.0
+ Đối tượng khác,Bên khác > + Đối tượng khác,+ Đối tượng khác,449.531.614.821,449.531.614.821,319.521.051.926,319.521.051.926,449531614821.0,449531614821.0,319521051926.0,319521051926.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,749.389.739.404,749.389.739.404,464.666.728.448,464.666.728.448,749389739404.0,749389739404.0,464666728448.0,464666728448.0
