row_label_raw,row_label_full,Chỉ tiêu,Năm 2025 > An Giang,Năm 2025 > Đồng Tháp,Năm 2025 > Khu vực khác,Năm 2025 > Tổng cộng,Năm 2024 > An Giang,Năm 2024 > Đồng Tháp,Năm 2024 > Khu vực khác,Năm 2024 > Tổng cộng,numeric__Năm 2025 > An Giang,numeric__Năm 2025 > Đồng Tháp,numeric__Năm 2025 > Khu vực khác,numeric__Năm 2025 > Tổng cộng,numeric__Năm 2024 > An Giang,numeric__Năm 2024 > Đồng Tháp,numeric__Năm 2024 > Khu vực khác,numeric__Năm 2024 > Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.636.856.523.900,8.471.863.693.383,208.748.348.371,11.317.468.565.654,2.748.343.764.650,9.048.302.882.862,216471.242.488,12.013.117.890.000,2636856523900.0,8471863693383.0,208748348371.0,11317468565654.0,2748343764650.0,9048302882862.0,216471242488.0,12013117890000.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,2.636.856.523.900,8.471.863.693.383,208.748.348.371,11.317.468.565.654,2.748.343.764.650,9.048.302.882.862,216471.242.488,12.013.117.890.000,2636856523900.0,8471863693383.0,208748348371.0,11317468565654.0,2748343764650.0,9048302882862.0,216471242488.0,12013117890000.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,477.423.689.948,757.010.831.121,135.083.854.003,1.369.518.375.072,514.139.852.661,717.115.234.603,146149.961.057,1.377.405.048.321,477423689948.0,757010831121.0,135083854003.0,1369518375072.0,514139852661.0,717115234603.0,146149961057.0,1377405048321.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(540.286.783.132),,,,(514.834.854.426),,,,-540286783132.0,,,,-514834854426.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,829.231.591.940,,,,862.570.193.895,,,,829231591940.0,,,,862570193895.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,238.622.942.621,,,,198.142.208.396,,,,238622942621.0,,,,198142208396.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(809.145.103.928),,,,(721.962.932.465),,,,-809145103928.0,,,,-721962932465.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,11.067.719.454,,,,16.881.213.068,,,,11067719454.0,,,,16881213068.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(65.387.678.252),,,,(38.536.685.879),,,,-65387678252.0,,,,-38536685879.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(67.149.964.769),,,,(64.255.361.446),,,,-67149964769.0,,,,-64255361446.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(462.715.482),,,,(1.851.997.520),,,,-462715482.0,,,,-1851997520.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,136.776.791.584,,,,250.986.638.049,,,,136776791584.0,,,,250986638049.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,(428.012.703.632),,,,(254.360.620.505),,,,-428012703632.0,,,,-254360620505.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,(479.456.613.134),,,,(438.448.735.221),,,,-479456613134.0,,,,-438448735221.0
