row_label_raw,row_label_full,04. TRẢ TRƯỚC CHO NGƯỜI BÁN,04. TRẢ TRƯỚC CHO NGƯỜI BÁN_1,04. TRẢ TRƯỚC CHO NGƯỜI BÁN_2,numeric__04. TRẢ TRƯỚC CHO NGƯỜI BÁN_1,numeric__04. TRẢ TRƯỚC CHO NGƯỜI BÁN_2
,,,Số cuối năm,Số đầu năm,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,2.952.891.047.720,2.595.626.008.791,2952891047720.0,2595626008791.0
Bên khác,Bên khác,Bên khác,2.952.891.047.720,2.595.626.008.791,2952891047720.0,2595626008791.0
+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,113.245.486.915,74.153.508.915,113245486915.0,74153508915.0
+ Ban GPMB KDC Tân Châu,+ Ban GPMB KDC Tân Châu,+ Ban GPMB KDC Tân Châu,304.081.152.700,275.925.249.700,304081152700.0,275925249700.0
+ Ban QLDA GPMB (Bồi hoàn BK4),+ Ban QLDA GPMB (Bồi hoàn BK4),+ Ban QLDA GPMB (Bồi hoàn BK4),171.066.467.000,149.807.611.000,171066467000.0,149807611000.0
+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),22.452.693.000,22.452.693.000,22452693000.0,22452693000.0
"+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giắt)","+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giắt)","+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giắt)",7.838.257.253,11.444.933.968,7838257253.0,11444933968.0
+ Công ty CP xuất khẩu Thủy Hải Sản Sạch,+ Công ty CP xuất khẩu Thủy Hải Sản Sạch,+ Công ty CP xuất khẩu Thủy Hải Sản Sạch,445.600.816.392,70.493.885.724,445600816392.0,70493885724.0
+ Công ty CP Đầu Cá Châu Á,+ Công ty CP Đầu Cá Châu Á,+ Công ty CP Đầu Cá Châu Á,15.041.810.050,15.041.810.050,15041810050.0,15041810050.0
+ Công ty TNHH MTV Kiểm định & Đầu tư toàn cầu,+ Công ty TNHH MTV Kiểm định & Đầu tư toàn cầu,+ Công ty TNHH MTV Kiểm định & Đầu tư toàn cầu,135.490.546.882,99.105.667.005,135490546882.0,99105667005.0
+ Lê Đình Mạnh,+ Lê Đình Mạnh,+ Lê Đình Mạnh,25.439.536.348,24.671.156.908,25439536348.0,24671156908.0
+ Lê Văn Thường,+ Lê Văn Thường,+ Lê Văn Thường,46.846.754.000,87.082.815.560,46846754000.0,87082815560.0
+ Trần Huy,+ Trần Huy,+ Trần Huy,61.000.000.000,61.000.000.000,61000000000.0,61000000000.0
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,1.604.787.527.180,1.704.446.676.961,1604787527180.0,1704446676961.0
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
b) Dài hạn,Bên liên quan > b) Dài hạn,b) Dài hạn,14.500.000,14.500.000,14500000.0,14500000.0
+ Đối tượng khác,Bên liên quan > + Đối tượng khác,+ Đối tượng khác,14.500.000,14.500.000,14500000.0,14500000.0
Cộng,Bên liên quan > Cộng,Cộng,2.952.905.547.720,2.595.640.508.791,2952905547720.0,2595640508791.0
