row_label_raw,row_label_full,Bên cho vay > Công Ty TNHH Cho Thuê Tài Chính Quốc Tế Việt Nam (VILC),Hợp đồng/Khé ước > 2022-00004-000,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND > 36.239.999.988,Dư nợ vay > USD,Dư nợ vay > VND > 566.247.363,Thời hạn vay (Tháng) > 48,Lãi suất(%) > Thay đổi theo từng lần phát sinh,Mục đích vay > Phục vụ sản xuất kinh doanh,Hình thức đảm bảo > Máy móc thiết bị,numeric__Hợp đồng/Khé ước > 2022-00004-000,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND > 36.239.999.988,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 566.247.363,numeric__Thời hạn vay (Tháng) > 48,numeric__Lãi suất(%) > Thay đổi theo từng lần phát sinh,numeric__Mục đích vay > Phục vụ sản xuất kinh doanh,numeric__Hình thức đảm bảo > Máy móc thiết bị
Công Ty Cho Thuê Tài Chính TNHH MTV Quốc Tế Chailease,Công Ty Cho Thuê Tài Chính TNHH MTV Quốc Tế Chailease,Công Ty Cho Thuê Tài Chính TNHH MTV Quốc Tế Chailease,C2206240C2,,17.905.799.976,,778.049.631,42,Thay đổi theo từng lần phát sinh,Phục vụ sản xuất kinh doanh,Máy móc thiết bị,,,17905799976.0,,778049631.0,42.0,,,
Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phố Hồ Chí Minh,Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phố Hồ Chí Minh,Công Ty Cho Thuê Tài Chính Tnhh Bidv - Sumi Trust - Chi Nhánh Thành Phố Hồ Chí Minh,91/2021/CN.Mn-CTTC ngày 27/12/2021,,930.000.000,,441.750.000,60,,Mua máy Kobe,Ký cược,,,930000000.0,,441750000.0,60.0,,,
Thuê mus tài chính,Thuê mus tài chính,Thuê mus tài chính,Thuê mus tài chính,Thuê mus tài chính,335.215.904.520,,45.808.080.540,,,,,,,335215904520.0,,45808080540.0,,,,
