row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH_1,VAY VÀ NỘ THUÊ TÀI CHÍNH_2,VAY VÀ NỘ THUÊ TÀI CHÍNH_3,VAY VÀ NỘ THUÊ TÀI CHÍNH_4,VAY VÀ NỘ THUÊ TÀI CHÍNH_5,VAY VÀ NỘ THUÊ TÀI CHÍNH_6,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_1,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_2,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_3,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_4,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_5,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_6
a) Vay ngắn hạn (*),a) Vay ngắn hạn (*),a) Vay ngắn hạn (*),Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
a) Vay ngắn hạn (*),a) Vay ngắn hạn (*),a) Vay ngắn hạn (*),Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn,a) Vay ngắn hạn (*) > Vay ngắn hạn,Vay ngắn hạn,6.500.712.745.583,6.500.712.745.583,10.260.957.782.567,9.981.158.734.345,6.220.913.697.361,6.220.913.697.361,6500712745583.0,6500712745583.0,10260957782567.0,9981158734345.0,6220913697361.0,6220913697361.0
Nợ dài hạn đến hạn trả,a) Vay ngắn hạn (*) > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,630.757.500.000,630.757.500.000,621.357.500.000,462.534.000.000,471.934.000.000,471.934.000.000,630757500000.0,630757500000.0,621357500000.0,462534000000.0,471934000000.0,471934000000.0
Cộng,a) Vay ngắn hạn (*) > Cộng,Cộng,7.131.470.245.583,7.131.470.245.583,10.882.315.282.567,10.443.692.734.345,6.692.847.697.361,6.692.847.697.361,7131470245583.0,7131470245583.0,10882315282567.0,10443692734345.0,6692847697361.0,6692847697361.0
b) Vay dài hạn (**),b) Vay dài hạn (**),b) Vay dài hạn (**),,,,,,,,,,,,
Trên 1 năm đến 5 năm,b) Vay dài hạn (**) > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,3.509.020.697.414,3.509.020.697.414,1.823.244.663.909,1.920.874.752.500,3.606.650.786.005,3.606.650.786.005,3509020697414.0,3509020697414.0,1823244663909.0,1920874752500.0,3606650786005.0,3606650786005.0
Trên 5 năm,b) Vay dài hạn (**) > Trên 5 năm,Trên 5 năm,1.903.045.000.000,1.903.045.000.000,5.385.000.000,401.900.000.000,2.299.560.000.000,2.299.560.000.000,1903045000000.0,1903045000000.0,5385000000.0,401900000000.0,2299560000000.0,2299560000000.0
Cộng,b) Vay dài hạn (**) > Cộng,Cộng,5.412.065.697.414,5.412.065.697.414,1.828.629.663.909,2.322.774.752.500,5.906.210.786.005,5.906.210.786.005,5412065697414.0,5412065697414.0,1828629663909.0,2322774752500.0,5906210786005.0,5906210786005.0
c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,,,,,,
,,,Năm 2025,Năm 2025,Năm 2025,Năm 2024,Năm 2024,Năm 2024,,,,,,
Thời hạn,Thời hạn,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trà tiền lãi thuê,Trà nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trà tiền lãi thuê,Trà nợ gốc,,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,73.014.700.870,6.839.445.106,66.175.255.764,81.296.864.412,11.774.379.496,69.522.484.916,73014700870.0,6839445106.0,66175255764.0,81296864412.0,11774379496.0,69522484916.0
Trên 1 năm đến 5 năm,Thời hạn > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,,,,12.680.521.029,2.117.120.985,10.563.400.044,,,,12680521029.0,2117120985.0,10563400044.0
Cộng,Thời hạn > Cộng,Cộng,73.014.700.870,6.839.445.106,66.175.255.764,93.977.385.441,13.891.500.481,80.085.884.960,73014700870.0,6839445106.0,66175255764.0,93977385441.0,13891500481.0,80085884960.0
