row_label_raw,row_label_full,Bên cho vay > Ngân Hàng Woori Bank CN Hà Nam > Ngân hàng United Overseas Bank (VN) > Ngân Hàng Thương Mại TNHH E.Sun - Chi nhánh Đồng Nai > Ngân Hàng TMCP Đại Chứng Việt Nam - Chi Nhánh An Giang,Hợp đồng/Khé ước > VN123007736-007/W3VN303 - I.D.I ngày 17/09/2025 > UOB/HCMC/CMB/2673 /003 ngày 20/09/2024 > 10001115LD001202570 ngày 23/06/2025 > 77/2025/HĐTD/PVB-AGG ngày 25/08/2025,Hạn mức/Số tiền vay (VND) > USD > 4.000.000 > 5.000.000,Hạn mức/Số tiền vay (VND) > VND > 150.000.000.000 > 70.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 149.992.542.000 > 97.450.050.000 > 130.640.100.000 > 63.918.772.078,Thời hạn vay (Tháng) > 6 > 8,Lãi suất(%) > Theo từng khế ước nhận nợ,Mục đích vay > Bổ sung vốn lưu động phục vụ SXKD,Hình thức đảm bảo > Tiền gửi > QSDD Công ty khác,numeric__Hợp đồng/Khé ước > VN123007736-007/W3VN303 - I.D.I ngày 17/09/2025 > UOB/HCMC/CMB/2673 /003 ngày 20/09/2024 > 10001115LD001202570 ngày 23/06/2025 > 77/2025/HĐTD/PVB-AGG ngày 25/08/2025,numeric__Hạn mức/Số tiền vay (VND) > USD > 4.000.000 > 5.000.000,numeric__Hạn mức/Số tiền vay (VND) > VND > 150.000.000.000 > 70.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 149.992.542.000 > 97.450.050.000 > 130.640.100.000 > 63.918.772.078,numeric__Thời hạn vay (Tháng) > 6 > 8,numeric__Lãi suất(%) > Theo từng khế ước nhận nợ,numeric__Mục đích vay > Bổ sung vốn lưu động phục vụ SXKD,numeric__Hình thức đảm bảo > Tiền gửi > QSDD Công ty khác
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,SDE.DN.6857.090525,,73.400.000.000,,58.433.136.515,6,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Tiền gửi + Bất động sản,,,73400000000.0,,58433136515.0,6.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,CLC-32004-01,,250.000.000.000,,10.000.000.000,6,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Tiền gửi + Cổ phiếu,,,250000000000.0,,10000000000.0,6.0,,,
Ngân hàng BPCE IOM,Ngân hàng BPCE IOM,Ngân hàng BPCE IOM,FCA000601-2025,3.000.000,,,60.774.401.459,5-7,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Ký quỹ tiền,,3000000.0,,,60774401459.0,,,,
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,268/2024-HĐCVHM/NHCT720-TRISEDCO,,55.000.000.000,,33.414.572.000,6,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Trái phiếu và bất động sản,,,55000000000.0,,33414572000.0,6.0,,,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,29/2025/HDTD/AGG,,70.000.000.000,,15.954.425.000,6,Theo từng khế ước nhận nợ,Bổ sung vốn phục vụ hoạt động kinh doanh,Bất động sản,,,70000000000.0,,15954425000.0,6.0,,,
