row_label_raw,row_label_full,Bên cho vay > Ngân Hàng TMCP Đầu Tư Và Phát Tiến Việt Nam - CN Đồng Bằng Sông Cửu Long > Ngân hàng TMCP Tiên Phong - CN An Giang,Hợp đồng/Khế ước > 001/2025/548997/HĐTD > 208/2025/HDTD/AGG,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND > 250.000.000.000 > 400.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 184.350.589.808 > 207.539.279.555,Thời hạn vay (Tháng) > 8 > 6,Lãi suất(%) > Theo từng khế uốc nhận nợ,Mục đích vay > Bổ sung vốn lưu động phục vụ SXKD > BS vốn KD TATS và NL thức ăn,Hình thức đảm bảo > BĐS và tín chấp > BĐS + tín chấp+ cổ phiếu,numeric__Hợp đồng/Khế ước > 001/2025/548997/HĐTD > 208/2025/HDTD/AGG,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND > 250.000.000.000 > 400.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 184.350.589.808 > 207.539.279.555,numeric__Thời hạn vay (Tháng) > 8 > 6,numeric__Lãi suất(%) > Theo từng khế uốc nhận nợ,numeric__Mục đích vay > Bổ sung vốn lưu động phục vụ SXKD > BS vốn KD TATS và NL thức ăn,numeric__Hình thức đảm bảo > BĐS và tín chấp > BĐS + tín chấp+ cổ phiếu
ACB,ACB,ACB,ANG.DN.2250.010725,,38.500.000.000,,33.988.877.960,6,Theo từng khế uốc nhận nợ,Bổ sung vốn lưu động phục vụ SXKD,BĐS + HDTG,,,38500000000.0,,33988877960.0,6.0,,,
MSB,MSB,MSB,112-00055270.26214/2025/HDTDHM,112-00055270.26214/2025/HDTDHM,200.000.000.000,,4.921.275.000,6,Theo từng khế uốc nhận nợ,Bổ sung vốn lưu động phục vụ SXKD,HDTG,,,200000000000.0,,4921275000.0,6.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,BCLC-2880-01,,665.000.000.000,,320.472.673.853,84,Theo từng khế uốc nhận nợ,"TT chi phí tiền SD đất + chi phí ĐT XD HT tại KDT Minh Sơn, TT Triệu Sơn, Thanh Hóa",BĐS,,,665000000000.0,,320472673853.0,84.0,,,
First Commercial Bank CN TP Hồ Chí Minh (USD),First Commercial Bank CN TP Hồ Chí Minh (USD),First Commercial Bank CN TP Hồ Chí Minh (USD),FIRST-12.11.24,80.000.000,,,1.645.924.800.000,60,Theo từng khế uốc nhận nợ,Vay bổ sung vốn lưu động,Bảo lãnh L/C,,80000000.0,,,1645924800000.0,60.0,,,
