row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Các quỹ thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn kinh phí và quỹ khác,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Các quỹ thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn kinh phí và quỹ khác,numeric__Cộng
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,,,,,,
Tại ngày 01/01/2024,Năm 2024 > Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.365.267.520.000,45.104.200.000,341.715.380.976,160.002.196.674,1.312.074.954.584,2.591.854.535.401,10.263.385.100,7.826.282.172.735,3365267520000.0,45104200000.0,341715380976.0,160002196674.0,1312074954584.0,2591854535401.0,10263385100.0,7826282172735.0
Lãi trong kỳ trước,Năm 2024 > Lãi trong kỳ trước,Lãi trong kỳ trước,,,,,180.853.915.747,70.132.722.302,,250.986.638.049,,,,,180853915747.0,70132722302.0,,250986638049.0
Tăng khác,Năm 2024 > Tăng khác,Tăng khác,,,,,13.149.678.885,,,13.149.678.885,,,,,13149678885.0,,,13149678885.0
Trích quỹ từ lợi nhuận,Năm 2024 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,13.141.198.568,(16.540.858.993),(1.032.723.276),,(4.432.383.701),,,,13141198568.0,-16540858993.0,-1032723276.0,,-4432383701.0
Thoái vốn ở Công ty con,Năm 2024 > Thoái vốn ở Công ty con,Thoái vốn ở Công ty con,,,,,3.525.783.625,(2.047.448.165),,1.478.335.460,,,,,3525783625.0,-2047448165.0,,1478335460.0
Chia cổ tức,Năm 2024 > Chia cổ tức,Chia cổ tức,336.514.980.000,,258.773.274.504,,(595.288.254.504),,,,336514980000.0,,258773274504.0,,-595288254504.0,,,
Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Năm 2024 > Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,,,,,,(8.059.613.142),,(8.059.613.142),,,,,,-8059613142.0,,-8059613142.0
Góp vốn thành lập công ty con,Năm 2024 > Góp vốn thành lập công ty con,Góp vốn thành lập công ty con,,,,,,8.330.000.000,,8.330.000.000,,,,,,8330000000.0,,8330000000.0
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,,,,,
Tại ngày 31/12/2024,Giảm khác > Tại ngày 31/12/2024,Tại ngày 31/12/2024,3.701.782.500.000,45.104.200.000,600.488.655.480,173.143.395.242,897.775.219.344,2.659.177.473.120,10.263.385.100,8.087.734.828.286,3701782500000.0,45104200000.0,600488655480.0,173143395242.0,897775219344.0,2659177473120.0,10263385100.0,8087734828286.0
Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,,,,,,,,
Tại ngày 01/01/2025,Năm 2025 > Tại ngày 01/01/2025,Tại ngày 01/01/2025,3.701.782.500.000,45.104.200.000,600.488.655.480,173.143.395.242,897.775.219.344,2.659.177.473.120,10.263.385.100,8.087.734.828.286,3701782500000.0,45104200000.0,600488655480.0,173143395242.0,897775219344.0,2659177473120.0,10263385100.0,8087734828286.0
Lãi trong kỳ này,Năm 2025 > Lãi trong kỳ này,Lãi trong kỳ này,,,,,37.712.105.942,99.064.685.642,,136.776.791.584,,,,,37712105942.0,99064685642.0,,136776791584.0
Tăng khác,Năm 2025 > Tăng khác,Tăng khác,,,,,2.039.822.908,,2.847.052.152,4.886.875.060,,,,,2039822908.0,,2847052152.0,4886875060.0
Trích quỹ từ lợi nhuận,Năm 2025 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,750.925.067,(750.925.067),,,,,,,750925067.0,-750925067.0,,,
Chia cổ tức bằng cổ phiếu,Năm 2025 > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,370.159.330.000,,,,(370.159.330.000),,,,370159330000.0,,,,-370159330000.0,,,
Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Năm 2025 > Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,,,,,,(18.360.531.000),,(18.360.531.000),,,,,,-18360531000.0,,-18360531000.0
Cổ đông không kiểm soát góp vốn thành lập Công ty con,Năm 2025 > Cổ đông không kiểm soát góp vốn thành lập Công ty con,Cổ đông không kiểm soát góp vốn thành lập Công ty con,,,,,,2.500.000.000,,2.500.000.000,,,,,,2500000000.0,,2500000000.0
Giảm khác,Năm 2025 > Giảm khác,Giảm khác,,,,,(95.600.608),,,(95.600.608),,,,,-95600608.0,,,-95600608.0
Tại ngày 31/12/2025,Năm 2025 > Tại ngày 31/12/2025,Tại ngày 31/12/2025,4.071.941.830.000,45.104.200.000,600.488.655.480,173.894.320.309,566.521.292.519,2.742.381.627.762,13.110.437.252,8.213.442.363.322,4071941830000.0,45104200000.0,600488655480.0,173894320309.0,566521292519.0,2742381627762.0,13110437252.0,8213442363322.0
