row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Việt Nam Thịnh Vượng,Hợp đồng/Khế ước > Số AGG/22006,Hạn mức/Số tiền vay (VND) > USD,Hạn mức/Số tiền vay (VND) > VND > 120.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 59.940.000.000,Thời hạn vay (Tháng) > 7 năm,Lãi suất(%) > Theo từng lần nhận nợ,Mục đích vay > Mua tài sãr,"Hình thức đảm bảo > TS gắn liền với đất: Thừa đất số 33, từ bản đồ số 12; Thừa đất số 34, từ bản đồ số 12; Thừa đất số 79, từ bản đồ số 12; Thừa đất số 81, từ bản đồ số 12 toạ lạc tại Phường Mỹ Thới, TPLX, AG",numeric__Hợp đồng/Khế ước > Số AGG/22006,numeric__Hạn mức/Số tiền vay (VND) > USD,numeric__Hạn mức/Số tiền vay (VND) > VND > 120.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 59.940.000.000,numeric__Thời hạn vay (Tháng) > 7 năm,numeric__Lãi suất(%) > Theo từng lần nhận nợ,numeric__Mục đích vay > Mua tài sãr,"numeric__Hình thức đảm bảo > TS gắn liền với đất: Thừa đất số 33, từ bản đồ số 12; Thừa đất số 34, từ bản đồ số 12; Thừa đất số 79, từ bản đồ số 12; Thừa đất số 81, từ bản đồ số 12 toạ lạc tại Phường Mỹ Thới, TPLX, AG"
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,,,47.893.000.000,24,Theo từng hợp đồng cụ thể,Phục vụ sản xuất kinh doanh,Vay của cá nhân,,,,,47893000000.0,24.0,,,
Ngân hàng Ngoại thương,Ngân hàng Ngoại thương,Ngân hàng Ngoại thương,Số 198/2017/NHNT-ĐT ngày 14/03/2017,,10.000.000.000,,2.531.748.463,6,7%/năm,Bổ sung vốn lưu động thanh toán các chi phí sản xuất kinh doanh,Giấy chứng nhận sở hữu Công trình xây dựng số 878662986900113 do UBND tỉnh Đồng Tháp cấp ngày 26/8/2009,,,10000000000.0,,2531748463.0,6.0,,,
Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,030/2024PGDRD/HĐT D,,50.000.000,,50.000.000,Theo từng khế ước nhận nợ,"7,2%",Bổ sung vốn lưu động,Hợp đồng tiền gửi,,,50000000.0,,50000000.0,,0.07200000000000001,,
Ngân hàngChina Construction Bank Corporation _ CN TP HCM,Ngân hàngChina Construction Bank Corporation _ CN TP HCM,Ngân hàngChina Construction Bank Corporation _ CN TP HCM,SYND-CCB-FACONT/2023-001,,397.600.000.000,,328.600.000.000,96,"8,5%",DA NMĐNLMT LA,Thế chấp bằng tài sản hình thành từ dự án,,,397600000000.0,,328600000000.0,96.0,0.085,,
