row_label_raw,row_label_full,(**) Thông tin trình bày bổ sung chi tiết các khoản vay dài hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
NH TMCP Thịnh Vượng và Phát Triển - CN Hà Nội,NH TMCP Thịnh Vượng và Phát Triển - CN Hà Nội,NH TMCP Thịnh Vượng và Phát Triển - CN Hà Nội,164.660.000.000,188.220.000.000,164660000000.0,188220000000.0
NH TMCP Thịnh Vượng và Phát Triển - CN An Giang,NH TMCP Thịnh Vượng và Phát Triển - CN An Giang,NH TMCP Thịnh Vượng và Phát Triển - CN An Giang,452.435.950.000,392.689.450.000,452435950000.0,392689450000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng - CN Hội Sở,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN Hội Sở,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN Hội Sở,264.736.673.853,274.456.673.853,264736673853.0,274456673853.0
Ngân hàng Fisrt Commercial Bank - CN TP Hồ Chí Minh,Ngân hàng Fisrt Commercial Bank - CN TP Hồ Chí Minh,Ngân hàng Fisrt Commercial Bank - CN TP Hồ Chí Minh,1.234.443.600.000,1.594.382.400.000,1234443600000.0,1594382400000.0
Ngân hàng TMCP Công Thương Việt Nam - CN Đồng Tháp,Ngân hàng TMCP Công Thương Việt Nam - CN Đồng Tháp,Ngân hàng TMCP Công Thương Việt Nam - CN Đồng Tháp,1.302.000.000.000,1.594.000.000.000,1302000000000.0,1594000000000.0
Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,164.000.000.000,276.000.000.000,164000000000.0,276000000000.0
Ngân hàng TMCP Ngoại Thương Việt Nam - CN Đồng Tháp,Ngân hàng TMCP Ngoại Thương Việt Nam - CN Đồng Tháp,Ngân hàng TMCP Ngoại Thương Việt Nam - CN Đồng Tháp,,2.544.000.000,,2544000000.0
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,,796.000.000,,796000000.0
Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,9.600.000.000,15.200.000.000,9600000000.0,15200000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,41.460.000.000,80.692.500.000,41460000000.0,80692500000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Bắc An Giang,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Bắc An Giang,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Bắc An Giang,6.100.000.000,,6100000000.0,
Ngân hàng China Construction Corporation - CN TP.HCM,Ngân hàng China Construction Corporation - CN TP.HCM,Ngân hàng China Construction Corporation - CN TP.HCM,264.600.000.000,328.600.000.000,264600000000.0,328600000000.0
Vay dài hạn đối tượng khác,Vay dài hạn đối tượng khác,Vay dài hạn đối tượng khác,1.508.029.473.561,1.158.629.762.152,1508029473561.0,1158629762152.0
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.412.065.697.414,5.906.210.786.005,5412065697414.0,5906210786005.0
