row_label_raw,row_label_full,Giá trị LTTM phát sinh từ việc mua Công ty con,Số cuối năm > 276.312.662.707,Số đầu năm > 338.770.266.367,numeric__Số cuối năm > 276.312.662.707,numeric__Số đầu năm > 338.770.266.367
Cộng,Cộng,Cộng,276.312.662.707,338.770.266.367,276312662707.0,338770266367.0
Thông tin phân bổ LTTM trong năm,Thông tin phân bổ LTTM trong năm,Thông tin phân bổ LTTM trong năm,Năm 2025,Năm 2024,,
Lợi thế thương mại đầu năm,Thông tin phân bổ LTTM trong năm > Lợi thế thương mại đầu năm,Lợi thế thương mại đầu năm,338.770.266.367,406.631.062.945,338770266367.0,406631062945.0
Lợi thế thương mại phân bổ trong năm,Thông tin phân bổ LTTM trong năm > Lợi thế thương mại phân bổ trong năm,Lợi thế thương mại phân bổ trong năm,62.457.603.660,34.119.333.643,62457603660.0,34119333643.0
Lợi thế thương mại còn phân bổ cuối năm,Thông tin phân bổ LTTM trong năm > Lợi thế thương mại còn phân bổ cuối năm,Lợi thế thương mại còn phân bổ cuối năm,276.312.662.707,372.511.729.302,276312662707.0,372511729302.0
