row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,
+ Công ty CP Du Lịch An Giang,Tên công ty > + Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,"Số 17 Nguyễn Văn Cung, Phường Long Xuyên, An Giang","71,82%","71,82%","71,82%","71,82%",,0.7182,0.7182,0.7182,0.7182
+ Công ty TNHH Sao Mai Super Feed,Tên công ty > + Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,"Cụm Công nghiệp Vảm Cống, Áp An Thạnh, Xã Lắp Vò, Đồng Tháp","100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
+ Công ty TNHH TM Sao Mai Solar,Tên công ty > + Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,"326 Hùng Vương, Phường Long Xuyên, An Giang","100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia I.D.I,Tên công ty > + Công ty CP Đầu tư và Phát triển Đa Quốc Gia I.D.I,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia I.D.I,"Quốc lộ 80, Cụm công nghiệp Vảm Cống, Áp An Thạnh, Xã Lắp Vò, Đồng Tháp","51,23%","51,23%","51,23%","51,23%",,0.5123,0.5123,0.5123,0.5123
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,Tên công ty > + Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,"Quốc lộ 80, Cụm công nghiệp Vảm Cống, Áp An Thạnh, Xã Lắp Vò, Đồng Tháp","43,95%","43,95%","82,67%","82,67%",,0.4395,0.4395,0.8267,0.8267
+ Công ty CP Điện Mặt Trời EUROPLAST Long An,Tên công ty > + Công ty CP Điện Mặt Trời EUROPLAST Long An,+ Công ty CP Điện Mặt Trời EUROPLAST Long An,"Khu D, Xã Mỹ Quý, Tây Ninh","86,40%","86,40%","95,67%","95,67%",,0.8640000000000001,0.8640000000000001,0.9567,0.9567
+ Công ty CP Đầu Tư Vĩnh An Đắk Nông,Tên công ty > + Công ty CP Đầu Tư Vĩnh An Đắk Nông,+ Công ty CP Đầu Tư Vĩnh An Đắk Nông,"Số 1, tiểu khu 834, cụm Ba Tầng, Xã Đắk Wil, Lâm Đồng","97,50%","97,50%","97,50%","97,50%",,0.975,0.975,0.975,0.975
+ Công ty TNHH Sinh Học MAIKI JAPAN,Tên công ty > + Công ty TNHH Sinh Học MAIKI JAPAN,+ Công ty TNHH Sinh Học MAIKI JAPAN,"29 Trần Hưng Đạo, Phường Mỹ Thới, An Giang","51,00%","51,00%","51,00%","51,00%",,0.51,0.51,0.51,0.51
+ Công ty Cổ phần Điện Gió Sao Mai,Tên công ty > + Công ty Cổ phần Điện Gió Sao Mai,+ Công ty Cổ phần Điện Gió Sao Mai,"Số 10 Đường Nguyễn Huệ, Phường Long Xuyên, An Giang","75,00%",,"75,00%",,,0.75,,0.75,
