row_label_raw,row_label_full,Nguyễn Thị Hồng Loan,Thành viên,300.000.000,Đơn vị tính: VND300.000.000,numeric__Thành viên,numeric__300.000.000,numeric__Đơn vị tính: VND300.000.000
- Thu nhập của các thành viên quản lý chủ chốt (tiếp theo),- Thu nhập của các thành viên quản lý chủ chốt (tiếp theo),- Thu nhập của các thành viên quản lý chủ chốt (tiếp theo),- Thu nhập của các thành viên quản lý chủ chốt (tiếp theo),- Thu nhập của các thành viên quản lý chủ chốt (tiếp theo),- Thu nhập của các thành viên quản lý chủ chốt (tiếp theo),,,
Họ tên,Họ tên,Họ tên,Chức vụ,Năm 2025,Năm 2024,,,
Tổng lương Ban Giám Đốc,Họ tên > Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,,6.573.138.000,5.972.600.000,,6573138000.0,5972600000.0
Lê Tuấn Anh,Họ tên > Lê Tuấn Anh,Lê Tuấn Anh,Tổng Giám Đốc,1.305.994.000,1.115.080.000,,1305994000.0,1115080000.0
Lê Văn Thành,Họ tên > Lê Văn Thành,Lê Văn Thành,Phó Tổng Giám Đốc,1.088.315.000,924.500.000,,1088315000.0,924500000.0
Lê Xuân Quế,Họ tên > Lê Xuân Quế,Lê Xuân Quế,Phó Tổng Giám Đốc,1.036.288.000,899.850.000,,1036288000.0,899850000.0
Trương Vĩnh Thành,Họ tên > Trương Vĩnh Thành,Trương Vĩnh Thành,Phó Tổng Giám Đốc,710.294.000,671.910.000,,710294000.0,671910000.0
Lê Thị Phượng,Họ tên > Lê Thị Phượng,Lê Thị Phượng,Phó Tổng Giám Đốc,711.194.000,672.710.000,,711194000.0,672710000.0
Lê Nguyễn Hoàng Anh Duy,Họ tên > Lê Nguyễn Hoàng Anh Duy,Lê Nguyễn Hoàng Anh Duy,Phó Tổng Giám Đốc,708.992.000,676.150.000,,708992000.0,676150000.0
Trương Công Khánh,Họ tên > Trương Công Khánh,Trương Công Khánh,Giám Đốc Tài Chính,567.924.000,568.300.000,,567924000.0,568300000.0
Ngô Thị Tổ Ngân,Họ tên > Ngô Thị Tổ Ngân,Ngô Thị Tổ Ngân,Kế Toán Trường,444.137.000,444.100.000,,444137000.0,444100000.0
