row_label_raw,row_label_full,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính_1,d) Giá trị nợ thuê tài chính_2,Số cuối năm > Giá đánh giá lại,Số cuối năm > Giá gốc,Số đầu năm > Giá đánh giá lại,Số đầu năm > Giá gốc,numeric__d) Giá trị nợ thuê tài chính_1,numeric__d) Giá trị nợ thuê tài chính_2,numeric__Số cuối năm > Giá đánh giá lại,numeric__Số cuối năm > Giá gốc,numeric__Số đầu năm > Giá đánh giá lại,numeric__Số đầu năm > Giá gốc
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,35.251.530.556,35.251.530.556,66.170.051.420,66.170.051.420,,,35251530556.0,35251530556.0,66170051420.0,66170051420.0
Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,35.251.530.556,35.251.530.556,66.170.051.420,66.170.051.420,,,35251530556.0,35251530556.0,66170051420.0,66170051420.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,
Dài hạn,Lãi thuê tài chính phải trả > Dài hạn,Dài hạn,Dài hạn,Dài hạn,10.556.549.984,10.556.549.984,45.813.284.884,45.813.284.884,,,10556549984.0,10556549984.0,45813284884.0,45813284884.0
Gốc nợ thuê tài chính,Lãi thuê tài chính phải trả > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,10.556.549.984,10.556.549.984,45.813.284.884,45.813.284.884,,,10556549984.0,10556549984.0,45813284884.0,45813284884.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,
Cộng,Lãi thuê tài chính phải trả > Cộng,Cộng,Cộng,Cộng,45.808.080.540,45.808.080.540,111.983.336.304,111.983.336.304,,,45808080540.0,45808080540.0,111983336304.0,111983336304.0
đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,đ) Số vay và nợ thuê tài chính quá hạn chưa thanh toán: không có e) Các khoản vay và nợ thuê tài chính đối với các bên liên quan: không có f) Trái phiếu thường,Giá trị,Lãi suất,Giá trị,Lãi suất,,,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,,,,
+ Trái phiếu,Dài hạn > + Trái phiếu,+ Trái phiếu,+ Trái phiếu,+ Trái phiếu,969.341.339.709,,964.854.706.521,,,,969341339709.0,,964854706521.0,
Trái phiếu phát hành,Dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,1.000.000.000.000,96 tháng,1.000.000.000.000,5.575%/năm,,,1000000000000.0,,1000000000000.0,
Phân bổ chi phí trái phiếu,Dài hạn > Phân bổ chi phí trái phiếu,Phân bổ chi phí trái phiếu,Phân bổ chi phí trái phiếu,Phân bổ chi phí trái phiếu,(30.658.660.291),,(35.145.293.479),,,,-30658660291.0,,-35145293479.0,
Cộng,Dài hạn > Cộng,Cộng,Cộng,Cộng,969.341.339.709,,964.854.706.521,,,,969341339709.0,,964854706521.0,
