row_label_raw,row_label_full,03. PHẢI THU KHÁCH HÀNG,03. PHẢI THU KHÁCH HÀNG_1,03. PHẢI THU KHÁCH HÀNG_2,numeric__03. PHẢI THU KHÁCH HÀNG_1,numeric__03. PHẢI THU KHÁCH HÀNG_2
,,,Số cuối năm,Số đầu năm,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,2.419.637.121.960,2.183.060.421.709,2419637121960.0,2183060421709.0
Bên khác,Bên khác,Bên khác,2.419.637.121.960,2.183.060.421.709,2419637121960.0,2183060421709.0
+ Công ty Mua Bán Điện - Tập Đoàn Điện Lực Việt Nam,+ Công ty Mua Bán Điện - Tập Đoàn Điện Lực Việt Nam,+ Công ty Mua Bán Điện - Tập Đoàn Điện Lực Việt Nam,359.185.048.257,72.027.201.569,359185048257.0,72027201569.0
+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,315.094.661.500,6.543.338.851,315094661500.0,6543338851.0
+ Công ty Cổ phần SATRA Thái Sơn,+ Công ty Cổ phần SATRA Thái Sơn,+ Công ty Cổ phần SATRA Thái Sơn,6.851.211.068,6.974.620.468,6851211068.0,6974620468.0
+ Công ty TNHH MTV Kiểm Định & Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định & Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định & Đầu Tư Toàn Cầu,,72.755.719.817,,72755719817.0
+ Công ty Cổ phần Dầu cá Châu Á,+ Công ty Cổ phần Dầu cá Châu Á,+ Công ty Cổ phần Dầu cá Châu Á,367.287.922.357,389.580.419.426,367287922357.0,389580419426.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,1.371.218.278.778,1.635.179.121.578,1371218278778.0,1635179121578.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
Cộng,b) Dài hạn > Cộng,Cộng,2.419.637.121.960,2.183.060.421.709,2419637121960.0,2183060421709.0
