row_label_raw,row_label_full,Khoản mục,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối năm
a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,,,,
Nguyên giá,a) BĐS đầu tư cho thuê > Nguyên giá,Nguyên giá,657.354.041.023,18.268.224.564,115.319.685.196,560.302.580.391,657354041023.0,18268224564.0,115319685196.0,560302580391.0
- Quyền sử dụng đất,a) BĐS đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,224.870.340.218,,6.772.665.855,218.097.674.363,224870340218.0,,6772665855.0,218097674363.0
- Nhà,a) BĐS đầu tư cho thuê > - Nhà,- Nhà,432.483.700.805,18.268.224.564,108.547.019.341,342.204.906.028,432483700805.0,18268224564.0,108547019341.0,342204906028.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị hao mòn lũy kế,- Cơ sở hạ tầng > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,148.748.852.747,14.083.101.330,38.855.015.588,123.976.938.489,148748852747.0,14083101330.0,38855015588.0,123976938489.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,3.919.524.282,392.211.852,,4.311.736.134,3919524282.0,392211852.0,,4311736134.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,144.829.328.465,13.690.889.478,38.855.015.588,119.665.202.355,144829328465.0,13690889478.0,38855015588.0,119665202355.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,- Cơ sở hạ tầng > Giá trị còn lại,Giá trị còn lại,508.605.188.276,,,436.325.641.902,508605188276.0,,,436325641902.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,220.950.815.936,,,213.785.938.229,220950815936.0,,,213785938229.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,287.654.372.340,,,222.539.703.673,287654372340.0,,,222539703673.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
