row_label_raw,row_label_full,Chỉ tiêu,Số cuối năm > An Giang,Số cuối năm > Đồng Tháp,Số cuối năm > Khu vực khác,Số cuối năm > Tổng cộng,Số đầu năm > An Giang,Số đầu năm > Đồng Tháp,Số đầu năm > Khu vực khác,Số đầu năm > Tổng cộng,numeric__Số cuối năm > An Giang,numeric__Số cuối năm > Đồng Tháp,numeric__Số cuối năm > Khu vực khác,numeric__Số cuối năm > Tổng cộng,numeric__Số đầu năm > An Giang,numeric__Số đầu năm > Đồng Tháp,numeric__Số đầu năm > Khu vực khác,numeric__Số đầu năm > Tổng cộng
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,11.003.529.473.583,11.146.313.355.294,470.927.343.775,22.620.770.172.652,10.460.377.406.172,10.978.674.417.429,474.567.748.294,21.913.619.571.895,11003529473583.0,11146313355294.0,470927343775.0,22620770172652.0,10460377406172.0,10978674417429.0,474567748294.0,21913619571895.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,855.757.484.873,,,,942.436.057.272,,,,855757484873.0,,,,942436057272.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,11.003.529.473.583,11.146.313.355.294,470.927.343.775,23.476.527.657.525,10.460.377.406.172,10.978.674.417.429,474.567.748.294,22.856.055.629.167,11003529473583.0,11146313355294.0,470927343775.0,23476527657525.0,10460377406172.0,10978674417429.0,474567748294.0,22856055629167.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,8.069.819.772.532,6.658.054.741.880,374.568.035.666,15.102.442.550.078,7.612.214.328.318,6.574.809.474.546,404.999.524.743,14.592.023.327.607,8069819772532.0,6658054741880.0,374568035666.0,15102442550078.0,7612214328318.0,6574809474546.0,404999524743.0,14592023327607.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,6.571.867.787.596,,,,7.114.090.503.721,,,,6571867787596.0,,,,7114090503721.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,8.069.819.772.532,6.658.054.741.880,374.568.035.666,21.674.310.337.674,7.612.214.328.318,6.574.809.474.546,404.999.524.743,21.706.113.831.328,8069819772532.0,6658054741880.0,374568035666.0,21674310337674.0,7612214328318.0,6574809474546.0,404999524743.0,21706113831328.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,
Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2025 > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,765.459.904.759,73.220.246.155,,4.345.515.247.600,6.133.273.167.140,11.317.468.565.654,,,765459904759.0,73220246155.0,,4345515247600.0,6133273167140.0,11317468565654.0
