row_label_raw,row_label_full,Thuế giá trị gia tăng,Số dư tại ngày 1/1/2021Triệu VND > 110.467,Phát sinh trong năm > Số phải nộpTriệu VND > 524.553,Phát sinh trong năm > Số đã nộpTriệu VND > (584.355),Số dư tại ngày 31/12/2021 > Phải trảTriệu VND > 63.025,Số dư tại ngày 31/12/2021 > Ứng trướcTriệu VND > (12.360),Số dư tại ngày 31/12/2021 > Tổng cộngTriệu VND > 50.665,numeric__Số dư tại ngày 1/1/2021Triệu VND > 110.467,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 524.553,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (584.355),numeric__Số dư tại ngày 31/12/2021 > Phải trảTriệu VND > 63.025,numeric__Số dư tại ngày 31/12/2021 > Ứng trướcTriệu VND > (12.360),numeric__Số dư tại ngày 31/12/2021 > Tổng cộngTriệu VND > 50.665
Thuế TNDN hiện hành,Thuế TNDN hiện hành,Thuế TNDN hiện hành,1.926.534,4.549.053,(5.877.802),598.092,(307),597.785,1926534.0,4549053.0,-5877802.0,598092.0,-307.0,597785.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,,,
- Thuế TNDN của Vietcombank,Trong đó: > - Thuế TNDN của Vietcombank,- Thuế TNDN của Vietcombank,1.926.606,4.547.363,(5.876.525),597.444,-,597.444,1926606.0,4547363.0,-5876525.0,597444.0,,597444.0
- Điều chỉnh thuế các năm trước,Trong đó: > - Điều chỉnh thuế các năm trước,- Điều chỉnh thuế các năm trước,(14),1.689,(1.277),648,(250),398,-14.0,1689.0,-1277.0,648.0,-250.0,398.0
- Nghĩa vụ thuế năm 2008 của Vinafico,Trong đó: > - Nghĩa vụ thuế năm 2008 của Vinafico,- Nghĩa vụ thuế năm 2008 của Vinafico,(58),1,-,-,(57),(57),-58.0,1.0,,,-57.0,-57.0
Các loại thuế khác,Trong đó: > Các loại thuế khác,Các loại thuế khác,138.439,1.512.506,(1.478.223),172.724,(2),172.722,138439.0,1512506.0,-1478223.0,172724.0,-2.0,172722.0
,,,2.175.440,6.586.112,(7.940.380),833.841,(12.669),821.172,2175440.0,6586112.0,-7940380.0,833841.0,-12669.0,821172.0
