row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,18.011.766,15.095.394,,4.0,18011766.0,15095394.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,22.506.711,33.139.373,,5.0,22506711.0,33139373.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,225.764.546,267.969.645,,6.0,225764546.0,267969645.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,181.036.981,204.713.783,,,181036981.0,204713783.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,48.727.565,64.255.862,,,48727565.0,64255862.0
3,A > 3,3,Dự phòng rủi ro,,(4.000.000),(1.000.000),,,-4000000.0,-1000000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,2.766.098,1.954.061,,7.0,2766098.0,1954061.0
1,A > 1,1,Chứng khoán kinh doanh,,2.822.531,1.991.861,,,2822531.0,1991861.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(56.433),(37.800),,,-56433.0,-37800.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,303.202,-,,8.0,303202.0,
VI,A > VI,VI,Cho vay khách hàng,,934.774.287,820.545.467,,,934774287.0,820545467.0
1,A > 1,1,Cho vay khách hàng,9,960.749.955,839.788.261,,9.0,960749955.0,839788261.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(25.975.668),(19.242.794),,10.0,-25975668.0,-19242794.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,170.604.700,156.931.097,,11.0,170604700.0,156931097.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,71.122.502,42.148.831,,,71122502.0,42148831.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,99.657.595,115.382.544,,,99657595.0,115382544.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(175.397),(600.278),,,-175397.0,-600278.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,2.346.176,2.239.006,,,2346176.0,2239006.0
2,A > 2,2,Vốn góp liên doanh,12(a),748.895,714.935,,,748895.0,714935.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(b),10.820,11.248,,,10820.0,11248.0
4,A > 4,4,Đầu tư dài hạn khác,12(c),1.661.461,1.587.823,,,1661461.0,1587823.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(c),(75.000),(75.000),,,-75000.0,-75000.0
X,A > X,X,Tài sản cố định,,8.626.043,8.539.362,,,8626043.0,8539362.0
1,A > 1,1,Tài sản cố định hữu hình,13,5.552.624,5.411.139,,13.0,5552624.0,5411139.0
a,A > a,a,Nguyên giá tài sản cố định,,13.725.160,12.866.189,,,13725160.0,12866189.0
b,A > b,b,Hao mòn tài sản cố định,,(8.172.536),(7.455.050),,,-8172536.0,-7455050.0
3,A > 3,3,Tài sản cố định vô hình,14,3.073.419,3.128.223,,14.0,3073419.0,3128223.0
a,A > a,a,Nguyên giá tài sản cố định,,4.622.229,4.211.880,,,4622229.0,4211880.0
b,A > b,b,Hao mòn tài sản cố định,,(1.548.810),(1.083.657),,,-1548810.0,-1083657.0
XII,A > XII,XII,Tài sản Có khác,,28.969.058,19.816.687,,,28969058.0,19816687.0
1,A > 1,1,Các khoản phải thu,15(a),15.796.141,6.668.595,,,15796141.0,6668595.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),7.149.313,7.206.125,,,7149313.0,7206125.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),7.137,909.263,,,7137.0,909263.0
4,A > 4,4,Tài sản Có khác,15(d),6.020.487,5.036.638,,,6020487.0,5036638.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,15(d),(4.020),(3.934),,,-4020.0,-3934.0
,,,TỔNG TÀI SẢN CÓ,,1.414.672.587,1.326.230.092,,,1414672587.0,1326230092.0
