row_label_raw,row_label_full,STT,Chỉ tiêu,2021Triệu VND,2020Triệu VND,numeric__Chỉ tiêu,numeric__2021Triệu VND,numeric__2020Triệu VND
,,,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(1.621.433),(3.001.902),,-1621433.0,-3001902.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",8.456,10.569,,8456.0,10569.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(1.201),(3.053),,-1201.0,-3053.0
04,04,04,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(83.502),-,,-83502.0,
05,05,05,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",13.791,605.274,,13791.0,605274.0
06,06,06,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",93.953,83.959,,93953.0,83959.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(1.589.936),(2.305.153),,-1589936.0,-2305153.0
,,,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG TÀI CHÍNH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG TÀI CHÍNH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG TÀI CHÍNH,,,
01,01,01,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",(1.886.298),(2.986.115),,-1886298.0,-2986115.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(1.886.298),(2.986.115),,-1886298.0,-2986115.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,(60.028.707),20.312.167,,-60028707.0,20312167.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,292.582.702,272.270.535,,292582702.0,272270535.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 36),232.553.995,292.582.702,,232553995.0,292582702.0
