row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2021:,Năm kết thúc ngày 31 tháng 12 năm 2021:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2021:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,152.611.731(110.754.826),363.211(116.867),451.213(189.021),33.243(15.923),(82.710.396)82.727.252,70.749.002(28.349.385),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,152.611.731(110.754.826),363.211(116.867),451.213(189.021),33.243(15.923),(82.710.396)82.727.252,70.749.002(28.349.385),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,41.856.905,246.344,262.192,17.320,16.856,42.399.617,,41856905.0,246344.0,262192.0,17320.0,16856.0,42399617.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,11.065.250,7.911,654.029,259.603,(700.277),11.286.516,,11065250.0,7911.0,654029.0,259603.0,-700277.0,11286516.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(4.244.793),(1.149),(119.797),(75.747),562.043,(3.879.443),,-4244793.0,-1149.0,-119797.0,-75747.0,562043.0,-3879443.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,6.820.457,6.762,534.232,183.856,(138.234),7.407.073,,6820457.0,6762.0,534232.0,183856.0,-138234.0,7407073.0
III,2 > III,III,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,4.375.901,(1.081),-,-,-,4.374.820,,4375901.0,-1081.0,,,,4374820.0
IV,2 > IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,(14.205),-,122.335,-,(4.016),104.114,,-14205.0,,122335.0,,-4016.0,104114.0
IV,2 > IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(86.287),-,1.161,-,-,(85.126),,-86287.0,,1161.0,,,-85126.0
5,2 > 5,5,Thu nhập từ hoạt động khác,3.058.390,30.676,5.233,6.071,-,3.100.370,,3058390.0,30676.0,5233.0,6071.0,,3100370.0
6,2 > 6,6,Chi phí hoạt động khác,(698.962),-,(8.141),(6),-,(707.109),,-698962.0,,-8141.0,-6.0,,-707109.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,2.359.428,30.676,(2.908),6.065,-,2.393.261,,2359428.0,30676.0,-2908.0,6065.0,,2393261.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",117.247,-,12.563,-,-,129.810,,117247.0,,12563.0,,,129810.0
,,,Tổng thu nhập hoạt động,55.429.446,282.701,929.575,207.241,(125.394),56.723.569,,55429446.0,282701.0,929575.0,207241.0,-125394.0,56723569.0
VIII,2 > VIII,VIII,Chi phí hoạt động,(17.189.758),(136.582),(281.900),(104.182),138.234,(17.574.188),,-17189758.0,-136582.0,-281900.0,-104182.0,138234.0,-17574188.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,38.239.688,146.119,647.675,103.059,12.840,39.149.381,,38239688.0,146119.0,647675.0,103059.0,12840.0,39149381.0
X,2 > X,X,Chi phí dự phòng rủi ro tín dụng,(11.762.197),1.396,-,-,-,(11.760.801),,-11762197.0,1396.0,,,,-11760801.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,26.477.491,147.515,647.675,103.059,12.840,27.388.580,,26477491.0,147515.0,647675.0,103059.0,12840.0,27388580.0
7,2 > 7,7,Chi phí thuế TNDN hiện hành,(4.373.159),(29.231),(127.264),(17.709),-,(4.547.363),,-4373159.0,-29231.0,-127264.0,-17709.0,,-4547363.0
8,2 > 8,8,Chi phí thuế TNDN hoãn lại,(902.392),-,220,-,-,(902.172),,-902392.0,,220.0,,,-902172.0
XII,2 > XII,XII,Chi phí thuế TNDN,(5.275.551),(29.231),(127.044),(17.709),-,(5.449.535),,-5275551.0,-29231.0,-127044.0,-17709.0,,-5449535.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,21.201.940,118.284,520.631,85.350,12.840,21.939.045,,21201940.0,118284.0,520631.0,85350.0,12840.0,21939045.0
