row_label_raw,row_label_full,Ngân hàng Nhà nước Việt NamTiền gửi của Vietcombank tại NHNNVNTiền gửi và tiền vay của NHNNVNTại Vietcombank,Mối liên quan > Đại diệnchủ sở hữu,31/12/2021Triệu VNDPhải thu/(phải trả) > 22.311.693(1.773.842),31/12/2020Triệu VND > 33.010.030(4.783.072),numeric__Mối liên quan > Đại diệnchủ sở hữu,numeric__31/12/2021Triệu VNDPhải thu/(phải trả) > 22.311.693(1.773.842),numeric__31/12/2020Triệu VND > 33.010.030(4.783.072)
Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bên liên quancủa chủ sở hữu,(7.694.274)(806.617),(36.393.923)(906.194),,,
"Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho BankLtd., Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bântại Ngân hàng","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho BankLtd., Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bântại Ngân hàng","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho BankLtd., Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bântại Ngân hàng",Cổ đôngchiến lược,1.910.189(694.909),9.711.861(4.236.034),,,
