row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộngTriệu VND,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,22.506.711,-,-,22.506.711,22506711.0,,,22506711.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,225.764.546,-,4.000.000,229.764.546,225764546.0,,4000000.0,229764546.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,181.036.981,-,-,181.036.981,181036981.0,,,181036981.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,44.727.565,-,4.000.000,48.727.565,44727565.0,,4000000.0,48727565.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,2.492.178,-,-,2.492.178,2492178.0,,,2492178.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,915.069.549,9.427.931,36.252.475,960.749.955,915069549.0,9427931.0,36252475.0,960749955.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,170.771.907,-,-,170.771.907,170771907.0,,,170771907.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,71.114.312,-,-,71.114.312,71114312.0,,,71114312.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,99.657.595,-,-,99.657.595,99657595.0,,,99657595.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,23.694.743,-,4.020,23.698.763,23694743.0,,4020.0,23698763.0
,,,1.360.299.634,9.427.931,40.256.495,1.409.984.060,1360299634.0,9427931.0,40256495.0,1409984060.0
