row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tin dụng,Quỹ của tổ chức tin dụng_1,Quỹ của tổ chức tin dụng_2,Quỹ của tổ chức tin dụng_3,Chênh lệch tỷ giá hối doài,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tin dụng,numeric__Quỹ của tổ chức tin dụng_1,numeric__Quỹ của tổ chức tin dụng_2,numeric__Quỹ của tổ chức tin dụng_3,numeric__Chênh lệch tỷ giá hối doài,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Tổng cộng Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,37.088.774,4.995.389,344.658,4.961.163,9.893.979,70.661,14.925.803,5.103,36.650.228,85.024,94.094.979,37088774.0,4995389.0,344658.0,4961163.0,9893979.0,70661.0,14925803.0,5103.0,36650228.0,85024.0,94094979.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,21.918.813,20.232,21.939.045,,,,,,,,,21918813.0,20232.0,21939045.0
Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2021 của Ngân hàng,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2021 của Ngân hàng,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2021 của Ngân hàng,-,-,-,1.059.547,2.119.093,-,3.178.640,-,(3.178.640),-,-,,,,1059547.0,2119093.0,,3178640.0,,-3178640.0,,
"Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2021 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2021 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2021 của Ngân hàng",-,-,-,-,-,-,-,-,(2.051.535),-,(2.051.535),,,,,,,,,-2051535.0,,-2051535.0
Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,-,-,-,3.590(3.255),7.1802.018,-,10.770(1.237),-,(353.991)(20.274),-(628),(343.221)(22.139),,,,,71802018.0,,,,,,
Điều chỉnh theo Nghị quyết của Công ty con,Điều chỉnh theo Nghị quyết của Công ty con,Điều chỉnh theo Nghị quyết của Công ty con,-,-,-,-,-,-,-,-,(4.450.653),-,(4.450.653),,,,,,,,,-4450653.0,,-4450653.0
Chia cổ tức bằng tiền mặt năm 2020 cho cổ đông (Thuyết minh 23),Chia cổ tức bằng tiền mặt năm 2020 cho cổ đông (Thuyết minh 23),Chia cổ tức bằng tiền mặt năm 2020 cho cổ đông (Thuyết minh 23),-,-,-,-,-,-,-,-,-,(17.250),(17.250),,,,,,,,,,-17250.0,-17250.0
Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,-,-,-,-,-,-,-,-,-,-,(10.285),,,,,,,,,,,-10285.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(10.285),-,(10.285),-,-,-,-,,,,,-10285.0,,-10285.0,,,,
Tạm trích các quỹ DTBB trong năm 2021 của công ty con,Tạm trích các quỹ DTBB trong năm 2021 của công ty con,Tạm trích các quỹ DTBB trong năm 2021 của công ty con,-,-,-,31.786,37.591,-,69.377,-,(69.377),-,-,,,,31786.0,37591.0,,69377.0,,-69377.0,,
Tạm trích quỹ KTPL trong năm 2021 của công ty con,Tạm trích quỹ KTPL trong năm 2021 của công ty con,Tạm trích quỹ KTPL trong năm 2021 của công ty con,-,-,-,-,-,-,-,-,(12.489),-,(12.489),,,,,,,,,-12489.0,,-12489.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,(10.212),-,(265),(10.477),,,,,,,,-10212.0,,-265.0,-10477.0
"Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chỉnh công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,1.602(184),-,1.602(184),,,,,,,,,,,
Biên động khác,Biên động khác,Biên động khác,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số dư tại ngày 31/12/2021,Biên động khác > Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,37.088.774,4.995.389,344.658,6.052.831,12.049.576,70.661,18.173.068,(5.109),48.433.500,87.113,109.117.393,37088774.0,4995389.0,344658.0,6052831.0,12049576.0,70661.0,18173068.0,-5109.0,48433500.0,87113.0,109117393.0
