row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đãnTriệu VND",Tài sâncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đãnTriệu VND",numeric__Tài sâncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.514.381,4.507.863,1.129.540,1.714.405,12.866.189,5514381.0,4507863.0,1129540.0,1714405.0,12866189.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,407.801,569.783,101.391,145.579,1.224.554,407801.0,569783.0,101391.0,145579.0,1224554.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,407.801,557.570,101.391,135.101,1.201.863,407801.0,557570.0,101391.0,135101.0,1201863.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,12.213,-,10.478,22.691,,12213.0,,10478.0,22691.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(99.951),(225.177),(22.684),(17.771),(365.583),-99951.0,-225177.0,-22684.0,-17771.0,-365583.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.439),(224.827),(19.972),(17.716),(268.954),-6439.0,-224827.0,-19972.0,-17716.0,-268954.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(93.512),(350),(2.712),(55),(96.629),-93512.0,-350.0,-2712.0,-55.0,-96629.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.822.231,4.852.469,1.208.247,1.842.213,13.725.160,5822231.0,4852469.0,1208247.0,1842213.0,13725160.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.524.577,3.966.736,733.520,1.230.217,7.455.050,1524577.0,3966736.0,733520.0,1230217.0,7455050.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,237.978,419.560,105.783,223.779,987.100,237978.0,419560.0,105783.0,223779.0,987100.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,237.935,388.528,105.322,214.776,946.561,237935.0,388528.0,105322.0,214776.0,946561.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,43,31.032,461,9.003,40.539,43.0,31032.0,461.0,9003.0,40539.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(6.492),(225.550),(19.972),(17.600),(269.614),-6492.0,-225550.0,-19972.0,-17600.0,-269614.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.439),(224.827),(19.972),(17.482),(268.720),-6439.0,-224827.0,-19972.0,-17482.0,-268720.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(53),(723),-,(118),(894),-53.0,-723.0,,-118.0,-894.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.756.063,4.160.746,819.331,1.436.396,8.172.536,1756063.0,4160746.0,819331.0,1436396.0,8172536.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.989.804,541.127,396.020,484.188,5.411.139,3989804.0,541127.0,396020.0,484188.0,5411139.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.066.168,691.723,388.916,405.817,5.552.624,4066168.0,691723.0,388916.0,405817.0,5552624.0
