row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2021:,Năm kết thúc ngày 31 tháng 12 năm 2021:_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Nước ngoài > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2021:_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,88.090.126,16.632.624,48.626.402,110.246,(82.710.396),70.749.002,,88090126.0,16632624.0,48626402.0,110246.0,-82710396.0,70749002.0
2,2,2,Chi phí lãi và các chi phí tương tự,(71.973.457),(9.966.676),(29.133.907),(2.597),82.727.252,(28.349.385),,-71973457.0,-9966676.0,-29133907.0,-2597.0,82727252.0,-28349385.0
I,I,I,Thu nhập lãi thuần,16.116.669,6.665.948,19.492.495,107.649,16.856,42.399.617,,16116669.0,6665948.0,19492495.0,107649.0,16856.0,42399617.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.334.535,753.894,2.797.100,101.264,(700.277),11.286.516,,8334535.0,753894.0,2797100.0,101264.0,-700277.0,11286516.0
4,4,4,Chi phí hoạt động dịch vụ,(4.268.235),(38.053),(106.110),(29.088),562.043,(3.879.443),,-4268235.0,-38053.0,-106110.0,-29088.0,562043.0,-3879443.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,4.066.300,715.841,2.690.990,72.176,(138.234),7.407.073,,4066300.0,715841.0,2690990.0,72176.0,-138234.0,7407073.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,2.876.025,169.193,1.326.945,2.657,-,4.374.820,,2876025.0,169193.0,1326945.0,2657.0,,4374820.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,108.130,-,-,-,(4.016),104.114,,108130.0,,,,-4016.0,104114.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,(85.126),-,-,-,-,(85.126),,-85126.0,,,,,-85126.0
5,5,5,Thu nhập từ hoạt động khác,1.358.589,623.009,1.100.765,18.007,-,3.100.370,,1358589.0,623009.0,1100765.0,18007.0,,3100370.0
6,6,6,Chi phí hoạt động khác,(513.671),(85.168),(108.270),-,-,(707.109),,-513671.0,-85168.0,-108270.0,,,-707109.0
VI,VI,VI,Lãi thuần từ hoạt động khác,844.918,537.841,992.495,18.007,-,2.393.261,,844918.0,537841.0,992495.0,18007.0,,2393261.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",129.810,-,-,-,-,129.810,,129810.0,,,,,129810.0
,,,Tổng thu nhập hoạt động,24.056.726,8.088.823,24.502.925,200.489,(125.394),56.723.569,,24056726.0,8088823.0,24502925.0,200489.0,-125394.0,56723569.0
VIII,VIII,VIII,Chi phí hoạt động,(11.438.928),(1.695.398),(4.477.411),(100.685),138.234,(17.574.188),,-11438928.0,-1695398.0,-4477411.0,-100685.0,138234.0,-17574188.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,12.617.798,6.393.425,20.025.514,99.804,12.840,39.149.381,,12617798.0,6393425.0,20025514.0,99804.0,12840.0,39149381.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(9.163.200),(537.820),(2.028.395),(31.386),-,(11.760.801),,-9163200.0,-537820.0,-2028395.0,-31386.0,,-11760801.0
XI,XI,XI,Tổng lợi nhuận trước thuế,3.454.598,5.855.605,17.997.119,68.418,12.840,27.388.580,,3454598.0,5855605.0,17997119.0,68418.0,12840.0,27388580.0
7,7,7,Chi phí thuế TNDN hiện hành,233.728,(1.171.121),(3.599.998),(9.972),-,(4.547.363),,233728.0,-1171121.0,-3599998.0,-9972.0,,-4547363.0
8,8,8,Chi phí thuế TNDN hoãn lại,(902.172),-,-,-,-,(902.172),,-902172.0,,,,,-902172.0
XII,XII,XII,Chi phí thuế TNDN,(668.444),(1.171.121),(3.599.998),(9.972),-,(5.449.535),,-668444.0,-1171121.0,-3599998.0,-9972.0,,-5449535.0
XIII,XIII,XIII,Lợi nhuận sau thuế,2.786.154,4.684.484,14.397.121,58.446,12.840,21.939.045,,2786154.0,4684484.0,14397121.0,58446.0,12840.0,21939045.0
