row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,18.011.766,-,-,-,-,18.011.766,,,,18011766.0,,,,,18011766.0
II,II,II,Tiền gửi tại NHNN,-,-,22.506.711,-,-,-,-,22.506.711,,,,22506711.0,,,,,22506711.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,183.804.951,34.952.243,10.332.042,675.310,-,229.764.546,,,,183804951.0,34952243.0,10332042.0,675310.0,,229764546.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,2.822.531,-,-,-,-,2.822.531,,,,2822531.0,,,,,2822531.0
V,V,V,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,-,-,303.202,-,-,-,303.202,,,,,303202.0,,,,303202.0
VI,VI,VI,Cho vay khách hàng – gộp,2.295.917,12.698.073,62.283.447,181.948.352,306.657.758,155.036.446,239.829.962,960.749.955,,2295917.0,12698073.0,62283447.0,181948352.0,306657758.0,155036446.0,239829962.0,960749955.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,969.249,2.716.665,21.755.579,106.336.355,39.002.249,170.780.097,,,,969249.0,2716665.0,21755579.0,106336355.0,39002249.0,170780097.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.421.176,2.421.176,,,,,,,,2421176.0,2421176.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,8.626.043,8.626.043,,,,,,,,8626043.0,8626043.0
X,X,X,Tài sản Có khác – gộp,-,-,-,28.973.078,-,-,-,28.973.078,,,,,28973078.0,,,,28973078.0
,,,Tổng tài sản,2.295.917,12.698.073,290.398.655,248.893.540,338.745.379,262.048.111,289.879.430,1.444.959.105,,2295917.0,12698073.0,290398655.0,248893540.0,338745379.0,262048111.0,289879430.0,1444959105.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNVNvà tiền gửi và vay các TCTD khác,-,-,105.859.143,10.751.763,1.634.460,937.407,43.120,119.225.893,,,,105859143.0,10751763.0,1634460.0,937407.0,43120.0,119225893.0
II,II,II,Tiền gửi của khách hàng,-,-,282.882.615,186.742.490,322.343.976,46.328.445,297.026.387,1.135.323.913,,,,282882615.0,186742490.0,322343976.0,46328445.0,297026387.0,1135323913.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro",-,-,-,-,-,7.707,-,7.707,,,,,,,7707.0,,7707.0
V,V,V,Phát hành giấy tờ có giá,-,-,905,-,3.000.000,5.788.750,8.598.092,17.387.747,,,,905.0,,3000000.0,5788750.0,8598092.0,17387747.0
VI,VI,VI,Các khoản nợ phải trả khác,-,-,3.573.962,22.019.883,7.078.607,-,937.482,33.609.934,,,,3573962.0,22019883.0,7078607.0,,937482.0,33609934.0
,,,Tổng nợ phải trả,-,-,392.316.625,219.514.136,334.057.043,53.062.309,306.605.081,1.305.555.194,,,,392316625.0,219514136.0,334057043.0,53062309.0,306605081.0,1305555194.0
,,,Mức chênh thanh khoản ròng,2.295.917,12.698.073,(101.917.970),29.379.404,4.688.336,208.985.802,(16.725.651),139.403.911,,2295917.0,12698073.0,-101917970.0,29379404.0,4688336.0,208985802.0,-16725651.0,139403911.0
