row_label_raw,row_label_full,col_0,col_1,Quyền sử dụng đấtVND,Quyền sử dụng đấtVND_1,Nhà cửa và vật kiến trúcVND,Nhà cửa và vật kiến trúcVND_1,TổngVND,numeric__col_1,numeric__Quyền sử dụng đấtVND,numeric__Quyền sử dụng đấtVND_1,numeric__Nhà cửa và vật kiến trúcVND,numeric__Nhà cửa và vật kiến trúcVND_1,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,99.499.152.000,99.499.152.000,235.057.715.544(16.603.325.342),235.057.715.544(16.603.325.342),334.556.867.544(16.603.325.342),,99499152000.0,99499152000.0,,,
Ghi giảm bắt động sản đầu tư,Ghi giảm bắt động sản đầu tư,Ghi giảm bắt động sản đầu tư,Ghi giảm bắt động sản đầu tư,-,-,235.057.715.544(16.603.325.342),235.057.715.544(16.603.325.342),334.556.867.544(16.603.325.342),,,,,,
Số dư cuối năm,Ghi giảm bắt động sản đầu tư > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,99.499.152.000,99.499.152.000,218.454.390.202,218.454.390.202,317.953.542.202,,99499152000.0,99499152000.0,218454390202.0,218454390202.0,317953542202.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,9.658.343.373,9.658.343.373,85.077.826.440,85.077.826.440,94.736.169.813,,9658343373.0,9658343373.0,85077826440.0,85077826440.0,94736169813.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,Trích khấu hao trong năm,1.005.683.040,1.005.683.040,9.045.172.484,9.045.172.484,10.050.855.524,,1005683040.0,1005683040.0,9045172484.0,9045172484.0,10050855524.0
Ghi giảm bắt động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Ghi giảm bắt động sản đầu tư,Ghi giảm bắt động sản đầu tư,Ghi giảm bắt động sản đầu tư,-,-,(6.577.228.548),(6.577.228.548),(6.577.228.548),,,,-6577228548.0,-6577228548.0,-6577228548.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,10.664.026.413,10.664.026.413,87.545.770.376,87.545.770.376,98.209.796.789,,10664026413.0,10664026413.0,87545770376.0,87545770376.0,98209796789.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,89.840.808.627,89.840.808.627,149.979.889.104,149.979.889.104,239.820.697.731,,89840808627.0,89840808627.0,149979889104.0,149979889104.0,239820697731.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,88.835.125.587,88.835.125.587,130.908.619.826,130.908.619.826,219.743.745.413,,88835125587.0,88835125587.0,130908619826.0,130908619826.0,219743745413.0
Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,Danh mục bắt động sản đầu tư,,,,,,
,,,,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu nămVND,,,,,,
,,,,Nguyên giá,Hao mòn lũy kế,VNDGiá trị còn lại,Nguyên giá,Số đầu nămVND,,,,,,
,,,,Nguyên giá,Hao mòn lũy kế,VNDGiá trị còn lại,Nguyên giá,Hao mòn lũy kế,,,,,,
"Tòa nhà Đông Tây tại 27 Đình Bộ Lĩnh, thành phố Hồ Chí Minh","Danh mục bắt động sản đầu tư > Tòa nhà Đông Tây tại 27 Đình Bộ Lĩnh, thành phố Hồ Chí Minh","Tòa nhà Đông Tây tại 27 Đình Bộ Lĩnh, thành phố Hồ Chí Minh","Tòa nhà Đông Tây tại 27 Đình Bộ Lĩnh, thành phố Hồ Chí Minh",90.358.442.144,19.105.225.680,71.253.216.464,90.358.442.144,17.304.915.088,,90358442144.0,19105225680.0,71253216464.0,90358442144.0,17304915088.0
Siêu thị và Cao ốc văn phòng Cửu Long tại tỉnh Cà Mau,Danh mục bắt động sản đầu tư > Siêu thị và Cao ốc văn phòng Cửu Long tại tỉnh Cà Mau,Siêu thị và Cao ốc văn phòng Cửu Long tại tỉnh Cà Mau,Siêu thị và Cao ốc văn phòng Cửu Long tại tỉnh Cà Mau,157.460.134.120,56.423.766.282,101.036.367.838,174.063.459.462,57.555.848.535,,157460134120.0,56423766282.0,101036367838.0,174063459462.0,57555848535.0
