row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,657.268.539.966,8.087.191.614.563,167.818.243.734,8.255.009.858.297,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,657268539966.0,8087191614563.0,167818243734.0,8255009858297.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,377.703.325.589,377.703.325.589,11.156.546.070,388.859.871.659,,,,,377703325589.0,377703325589.0,11156546070.0,388859871659.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(77.492.951.528),(77.492.951.528),(2.557.073.845),(80.050.025.373),,,,,-77492951528.0,-77492951528.0,-2557073845.0,-80050025373.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,-,(391.334.260.000),(391.334.260.000),(11.050.000.000),(402.384.260.000),,,,,-391334260000.0,-391334260000.0,-11050000000.0,-402384260000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,566.144.654.027,7.996.067.728.624,165.367.715.959,8.161.435.444.583,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,566144654027.0,7996067728624.0,165367715959.0,8161435444583.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,566.144.654.027,7.996.067.728.624,165.367.715.959,8.161.435.444.583,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,566144654027.0,7996067728624.0,165367715959.0,8161435444583.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,691.307.691.848,691.307.691.848,10.311.986.954,701.619.678.802,,,,,691307691848.0,691307691848.0,10311986954.0,701619678802.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(133.677.476.418),(133.677.476.418),(2.255.295.896),(135.932.772.314),,,,,-133677476418.0,-133677476418.0,-2255295896.0,-135932772314.0
Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),-,-,-,-,(469.601.112.000),(469.601.112.000),(10.625.000.000),(480.226.112.000),,,,,-469601112000.0,-469601112000.0,-10625000000.0,-480226112000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,603.101.817,603.101.817,-,603.101.817,,,,,603101817.0,603101817.0,,603101817.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,654.776.859.274,8.084.699.933.871,162.799.407.017,8.247.499.340.888,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,654776859274.0,8084699933871.0,162799407017.0,8247499340888.0
