row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.360.465.541.295,8.238.372.297.383,87.966.694.221,304.631.810.723,637.984.489.504,11.629.420.833.126,2360465541295.0,8238372297383.0,87966694221.0,304631810723.0,637984489504.0,11629420833126.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,30.669.462.948,7.304.373.228,2.476.478.763,6.289.135.664,-,46.739.450.603,30669462948.0,7304373228.0,2476478763.0,6289135664.0,,46739450603.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.262.420.462),(2.599.738.263),(307.584.000),(530.494.000),-,(29.700.236.725),-26262420462.0,-2599738263.0,-307584000.0,-530494000.0,,-29700236725.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.364.872.583.781,8.243.076.932.348,90.135.588.984,310.390.452.387,637.984.489.504,11.646.460.047.004,2364872583781.0,8243076932348.0,90135588984.0,310390452387.0,637984489504.0,11646460047004.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.288.932.483.338,5.913.137.621.180,73.067.145.719,225.448.389.133,196.522.469.367,7.697.108.108.737,1288932483338.0,5913137621180.0,73067145719.0,225448389133.0,196522469367.0,7697108108737.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,131.740.979.829,264.393.875.660,3.710.933.297,29.894.402.905,94.754.934.931,524.495.126.622,131740979829.0,264393875660.0,3710933297.0,29894402905.0,94754934931.0,524495126622.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.576.259.477),(2.599.738.263),(307.584.000),(530.494.000),-,(14.014.075.740),-10576259477.0,-2599738263.0,-307584000.0,-530494000.0,,-14014075740.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.410.097.203.690,6.174.931.758.577,76.470.495.016,254.812.298.038,291.277.404.298,8.207.589.159.619,1410097203690.0,6174931758577.0,76470495016.0,254812298038.0,291277404298.0,8207589159619.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.071.533.057.957,2.325.234.676.203,14.899.548.502,79.183.421.590,441.462.020.137,3.932.312.724.389,1071533057957.0,2325234676203.0,14899548502.0,79183421590.0,441462020137.0,3932312724389.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,954.775.380.091,2.068.145.173.771,13.665.093.968,55.578.154.349,346.707.085.206,3.438.870.887.385,954775380091.0,2068145173771.0,13665093968.0,55578154349.0,346707085206.0,3438870887385.0
